category,series,value,unit,metric
Tariff rate,"Effective rate, pre-substitution",15.994503076721328,pct,etr_presub_level
Tariff rate,"Effective rate, post-substitution",15.121076439532903,pct,etr_postsub_level
Consumer price increase,Pre-substitution,1.8333038941351392,pct,price_presub
Household cost,Pre-substitution,-2434.64,usd,hh_cost_presub
Real GDP,"Q4-Q4 growth (p.p.), 2025",-0.5299163694379772,pp,gdp_growth_2025
Real GDP,"Q4-Q4 growth (p.p.), 2026",-0.4714475258660533,pp,gdp_growth_2026
Real GDP,Long-run,-0.39,pct,gdp_longrun
Labor market,"Unemployment rate (p.p.), end of 2025",0.295013427734375,pp,unemployment_2025
Labor market,"Change in payroll employment, 2025 Q4 (thousands)",-499.57275390625,thousands,payroll_employment_2025
Revenue (10-year),Conventional,2762.836041475206,usd_b,revenue_conventional
Revenue (10-year),"Add'l 2026-35 Dynamic Revenue Effects ($bn)",-463,usd_b,revenue_dynamic
