category,series,value,unit,metric
Tariff rate,"Effective rate, pre-substitution",12.20059292356644,pct,etr_presub_level
Tariff rate,"Effective rate, post-substitution",10.923710062420371,pct,etr_postsub_level
Consumer price increase,Pre-substitution,0.839735165800109,pct,price_presub
Consumer price increase,Post-substitution,0.6799299396805187,pct,price_postsub
Household cost,Pre-substitution,1136.947444794531,usd,hh_cost_presub
Household cost,Post-substitution,920.5814392952091,usd,hh_cost_postsub
Real GDP,"Q4-Q4 growth (p.p.), 2026",-0.02139719872524815,pp,gdp_growth_2026
Real GDP,Long-run,-0.1622726321220398,pct,gdp_longrun
Labor market,"Unemployment rate (p.p.), end of 2026",0.3325700759999997,pp,unemployment_2026
Revenue (10-year),Conventional,1943.2861391604179,usd_b,revenue_conventional
Revenue (10-year),Dynamic,1705.947139160418,usd_b,revenue_dynamic
