category,value,country_code,substitution,scenario,measure
China,27.57072168072251,chn,presub,tracker_actual_2026-07-23,level
China,25.231339823121075,chn,postsub,tracker_actual_2026-07-23,level
Canada,7.985886858476242,ca,presub,tracker_actual_2026-07-23,level
Canada,4.7132579143950055,ca,postsub,tracker_actual_2026-07-23,level
Mexico,6.95544537999401,mx,presub,tracker_actual_2026-07-23,level
Mexico,4.7012530889360455,mx,postsub,tracker_actual_2026-07-23,level
UK,8.223974959538461,uk,presub,tracker_actual_2026-07-23,level
UK,6.325585329906014,uk,postsub,tracker_actual_2026-07-23,level
Japan,13.599169617557568,jp,presub,tracker_actual_2026-07-23,level
Japan,12.776488705166466,jp,postsub,tracker_actual_2026-07-23,level
EU,9.975409473603056,eu,presub,tracker_actual_2026-07-23,level
EU,6.986371790466311,eu,postsub,tracker_actual_2026-07-23,level
Rest of World,12.161200345507847,row,presub,tracker_actual_2026-07-23,level
Rest of World,9.875575281335282,row,postsub,tracker_actual_2026-07-23,level
Free-trade partners,12.49750259347852,fta,presub,tracker_actual_2026-07-23,level
Free-trade partners,8.131683665511478,fta,postsub,tracker_actual_2026-07-23,level
Total,10.774551780224185,total,presub,tracker_actual_2026-07-23,level
Total,8.974112123065307,total,postsub,tracker_actual_2026-07-23,level
China,21.887296084139795,chn,presub,tracker_no_fl_301_2026-07-23,level
China,19.0472994850232,chn,postsub,tracker_no_fl_301_2026-07-23,level
Canada,7.828740174263541,ca,presub,tracker_no_fl_301_2026-07-23,level
Canada,4.604867864443935,ca,postsub,tracker_no_fl_301_2026-07-23,level
Mexico,6.668679767829665,mx,presub,tracker_no_fl_301_2026-07-23,level
Mexico,4.644194703012204,mx,postsub,tracker_no_fl_301_2026-07-23,level
UK,5.95601188937126,uk,presub,tracker_no_fl_301_2026-07-23,level
UK,4.5836639532876164,uk,postsub,tracker_no_fl_301_2026-07-23,level
Japan,10.87026536613966,jp,presub,tracker_no_fl_301_2026-07-23,level
Japan,9.541054560726831,jp,postsub,tracker_no_fl_301_2026-07-23,level
EU,7.424951901550344,eu,presub,tracker_no_fl_301_2026-07-23,level
EU,4.505880928506911,eu,postsub,tracker_no_fl_301_2026-07-23,level
Rest of World,8.244130879451028,row,presub,tracker_no_fl_301_2026-07-23,level
Rest of World,6.523681782181806,row,postsub,tracker_no_fl_301_2026-07-23,level
Free-trade partners,9.015395175415655,fta,presub,tracker_no_fl_301_2026-07-23,level
Free-trade partners,5.057579321156348,fta,postsub,tracker_no_fl_301_2026-07-23,level
Total,8.213476401334235,total,presub,tracker_no_fl_301_2026-07-23,level
Total,6.838908559866538,total,postsub,tracker_no_fl_301_2026-07-23,level
China,26.96854058510356,chn,presub,tracker_no_fl_301_keep_s122_2026-07-23,level
China,24.74278183758546,chn,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level
Canada,8.007165049078534,ca,presub,tracker_no_fl_301_keep_s122_2026-07-23,level
Canada,4.753947576825555,ca,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level
Mexico,7.008640817548066,mx,presub,tracker_no_fl_301_keep_s122_2026-07-23,level
Mexico,4.739791709568882,mx,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level
UK,9.317144452630613,uk,presub,tracker_no_fl_301_keep_s122_2026-07-23,level
UK,7.244905742327774,uk,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level
Japan,13.757446350080288,jp,presub,tracker_no_fl_301_keep_s122_2026-07-23,level
Japan,12.958226465586671,jp,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level
EU,11.354737482486998,eu,presub,tracker_no_fl_301_keep_s122_2026-07-23,level
EU,7.9749099613434495,eu,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level
Rest of World,12.438575871555493,row,presub,tracker_no_fl_301_keep_s122_2026-07-23,level
Rest of World,10.136422525214217,row,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level
