category,group,substitution,value
Total,Total,presub,0.3763270462082268
Total,Total,postsub,0.32181686585678587
Motor vehicles and parts,Durable goods,presub,2.953661373129478
Motor vehicles and parts,Durable goods,postsub,2.5311701281315777
Furnishings and durable household equipment,Durable goods,presub,2.276560692288278
Furnishings and durable household equipment,Durable goods,postsub,1.805963538808164
Recreational goods and vehicles,Durable goods,presub,1.174706479614337
Recreational goods and vehicles,Durable goods,postsub,0.9584163968038332
Net foreign travel,Services,presub,0.6545694002923722
Net foreign travel,Services,postsub,0.5335617116507511
Transportation services,Services,presub,0.49846594377886955
Transportation services,Services,postsub,0.45867958054357955
Other durable goods,Durable goods,presub,0.4515462292282699
Other durable goods,Durable goods,postsub,0.3808314664099071
Other nondurable goods,Nondurable goods,presub,0.40785970956805273
Other nondurable goods,Nondurable goods,postsub,0.3376364074863792
Communication,Services,presub,0.3368193456061844
Communication,Services,postsub,0.2879321750865324
Food and beverages purchased for off-premises consumption,Nondurable goods,presub,0.28589435793414975
Food and beverages purchased for off-premises consumption,Nondurable goods,postsub,0.26143327240619185
Household utilities,Services,presub,0.26333627547115185
Household utilities,Services,postsub,0.2333276465356529
Recreation services,Services,presub,0.22429351724806043
Recreation services,Services,postsub,0.19709724206941584
Other services,Services,presub,0.21793246407683312
Other services,Services,postsub,0.19498471902865472
Final consumption expenditures of NPISH,Services,presub,0.21227637446643804
Final consumption expenditures of NPISH,Services,postsub,0.1918322974272763
Food services and accommodations,Services,presub,0.19229644027058632
Food services and accommodations,Services,postsub,0.1725245388864385
Health care,Services,presub,0.14973809653682543
Health care,Services,postsub,0.1320544909944814
Education,Services,presub,0.14384131942309855
Education,Services,postsub,0.12761574480152424
Gasoline and other energy goods,Nondurable goods,presub,0.11543800297549651
Gasoline and other energy goods,Nondurable goods,postsub,0.10519484838845676
Financial services and insurance,Services,presub,0.06803508402515633
Financial services and insurance,Services,postsub,0.05954374530769418
Housing,Services,presub,0.04105352572217142
Housing,Services,postsub,0.03679382053678442
Clothing and footwear,Nondurable goods,presub,0.03450618808006882
Clothing and footwear,Nondurable goods,postsub,0.03059346995429382
