category,series,value
2025,conventional,111
2026,conventional,176.2435982810414
2027,conventional,50.51594824471069
2028,conventional,52.43479751208353
2029,conventional,54.18606380509966
2030,conventional,56.05522458529417
2031,conventional,58.25119637647242
2032,conventional,60.58900307973713
2033,conventional,62.95255784527215
2034,conventional,65.38612624816932
2035,conventional,67.77362143861242
2026-35,conventional,704.3881374164929
2025-34,conventional,747.6145159778805
2025,dynamic,102.869
2026,dynamic,137.2855982810414
2027,dynamic,12.68994824471069
2028,dynamic,28.81479751208353
2029,dynamic,37.08806380509966
2030,dynamic,39.64522458529417
2031,dynamic,43.69619637647242
2032,dynamic,46.09200307973713
2033,dynamic,47.69955784527215
2034,dynamic,49.33312624816932
2035,dynamic,50.85362143861242
2026-35,dynamic,493.1981374164929
2025-34,dynamic,545.2135159778804
2025,difference,-8.131
2026,difference,-38.958
2027,difference,-37.826
2028,difference,-23.62
2029,difference,-17.098
2030,difference,-16.41
2031,difference,-14.555
2032,difference,-14.497
2033,difference,-15.253
2034,difference,-16.053
2035,difference,-16.92
2026-35,difference,-211.19
2025-34,difference,-202.401
