category,value,dimension,category_code,scenario,measure,group
Agriculture,-0.2869220445495891,sector,agriculture,tracker_actual_2026-07-24,level,Sectors
Mining & Extraction,-1.0226307706842768,sector,mining,tracker_actual_2026-07-24,level,Sectors
Total Manufacturing,1.3158436488629195,sector,manufacturing,tracker_actual_2026-07-24,level,Sectors
Durable Manufacturing,2.5035973656338624,sector,durable,tracker_actual_2026-07-24,level,Manufacturing detail
Nondurable Manufacturing,0.7682839437895993,sector,nondurable,tracker_actual_2026-07-24,level,Manufacturing detail
Advanced Manufacturing,-2.01,sector,advanced,tracker_actual_2026-07-24,level,Manufacturing detail
Utilities,0.4519189906747647,sector,utilities,tracker_actual_2026-07-24,level,Sectors
Construction,-2.2,sector,construction,tracker_actual_2026-07-24,level,Sectors
Services,-0.08055287365766815,sector,services,tracker_actual_2026-07-24,level,Sectors
Total,-0.1431908905506134,sector,overall_gdp,tracker_actual_2026-07-24,level,Sectors
USA,-0.14,country,usa,tracker_actual_2026-07-24,level,Trading partners
China,-0.11,country,china,tracker_actual_2026-07-24,level,Trading partners
Canada,-0.19,country,canada,tracker_actual_2026-07-24,level,Trading partners
Mexico,0.09,country,mexico,tracker_actual_2026-07-24,level,Trading partners
EU,0.03,country,eu,tracker_actual_2026-07-24,level,Trading partners
UK,0.08,country,uk,tracker_actual_2026-07-24,level,Trading partners
Japan,-0.01,country,japan,tracker_actual_2026-07-24,level,Trading partners
Free-trade partners,0.02,country,fta,tracker_actual_2026-07-24,level,Trading partners
Rest of World,0.01,country,row,tracker_actual_2026-07-24,level,Trading partners
Total,-0.04209460697182088,country,world,tracker_actual_2026-07-24,level,Trading partners
Agriculture,-0.4176247908228077,sector,agriculture,tracker_no_fl_301_2026-07-24,level,Sectors
Mining & Extraction,-0.6760800985056773,sector,mining,tracker_no_fl_301_2026-07-24,level,Sectors
Total Manufacturing,0.9345008259642378,sector,manufacturing,tracker_no_fl_301_2026-07-24,level,Sectors
Durable Manufacturing,1.8302344046140768,sector,durable,tracker_no_fl_301_2026-07-24,level,Manufacturing detail
Nondurable Manufacturing,-6.459923395310606e-4,sector,nondurable,tracker_no_fl_301_2026-07-24,level,Manufacturing detail
Advanced Manufacturing,-0.05,sector,advanced,tracker_no_fl_301_2026-07-24,level,Manufacturing detail
Utilities,0.28268215403367947,sector,utilities,tracker_no_fl_301_2026-07-24,level,Sectors
Construction,-1.79,sector,construction,tracker_no_fl_301_2026-07-24,level,Sectors
Services,-0.04244622134030319,sector,services,tracker_no_fl_301_2026-07-24,level,Sectors
Total,-0.07488849759101868,sector,overall_gdp,tracker_no_fl_301_2026-07-24,level,Sectors
USA,-0.07,country,usa,tracker_no_fl_301_2026-07-24,level,Trading partners
China,-0.06,country,china,tracker_no_fl_301_2026-07-24,level,Trading partners
Canada,-0.28,country,canada,tracker_no_fl_301_2026-07-24,level,Trading partners
Mexico,0.03,country,mexico,tracker_no_fl_301_2026-07-24,level,Trading partners
EU,0.03,country,eu,tracker_no_fl_301_2026-07-24,level,Trading partners
UK,0.06,country,uk,tracker_no_fl_301_2026-07-24,level,Trading partners
Japan,0.01,country,japan,tracker_no_fl_301_2026-07-24,level,Trading partners
Free-trade partners,0.01,country,fta,tracker_no_fl_301_2026-07-24,level,Trading partners
Rest of World,0.01,country,row,tracker_no_fl_301_2026-07-24,level,Trading partners
Total,-0.02032029231215926,country,world,tracker_no_fl_301_2026-07-24,level,Trading partners
Agriculture,-0.26331227736657553,sector,agriculture,tracker_no_fl_301_keep_s122_2026-07-24,level,Sectors
Mining & Extraction,-1.066459893294336,sector,mining,tracker_no_fl_301_keep_s122_2026-07-24,level,Sectors
Total Manufacturing,1.415271650591187,sector,manufacturing,tracker_no_fl_301_keep_s122_2026-07-24,level,Sectors
Durable Manufacturing,2.5866938325953006,sector,durable,tracker_no_fl_301_keep_s122_2026-07-24,level,Manufacturing detail
Nondurable Manufacturing,0.7518029502820716,sector,nondurable,tracker_no_fl_301_keep_s122_2026-07-24,level,Manufacturing detail
Advanced Manufacturing,-1.51,sector,advanced,tracker_no_fl_301_keep_s122_2026-07-24,level,Manufacturing detail
Utilities,0.46534715200039034,sector,utilities,tracker_no_fl_301_keep_s122_2026-07-24,level,Sectors
Construction,-2.33,sector,construction,tracker_no_fl_301_keep_s122_2026-07-24,level,Sectors
Services,-0.08825131860050837,sector,services,tracker_no_fl_301_keep_s122_2026-07-24,level,Sectors
Total,-0.13676325976848602,sector,overall_gdp,tracker_no_fl_301_keep_s122_2026-07-24,level,Sectors
USA,-0.14,country,usa,tracker_no_fl_301_keep_s122_2026-07-24,level,Trading partners
China,-0.09,country,china,tracker_no_fl_301_keep_s122_2026-07-24,level,Trading partners
Canada,-0.19,country,canada,tracker_no_fl_301_keep_s122_2026-07-24,level,Trading partners
Mexico,0.1,country,mexico,tracker_no_fl_301_keep_s122_2026-07-24,level,Trading partners
EU,0.02,country,eu,tracker_no_fl_301_keep_s122_2026-07-24,level,Trading partners
UK,0.06,country,uk,tracker_no_fl_301_keep_s122_2026-07-24,level,Trading partners
Japan,-0.01,country,japan,tracker_no_fl_301_keep_s122_2026-07-24,level,Trading partners
Free-trade partners,0.01,country,fta,tracker_no_fl_301_keep_s122_2026-07-24,level,Trading partners
Rest of World,0,country,row,tracker_no_fl_301_keep_s122_2026-07-24,level,Trading partners
Total,-0.04427664167148126,country,world,tracker_no_fl_301_keep_s122_2026-07-24,level,Trading partners
Agriculture,-0.1307027462732186,sector,agriculture,tracker_no_fl_301_2026-07-24,delta_vs_default,Sectors
Mining & Extraction,0.3465506721785995,sector,mining,tracker_no_fl_301_2026-07-24,delta_vs_default,Sectors
Total Manufacturing,-0.3813428228986817,sector,manufacturing,tracker_no_fl_301_2026-07-24,delta_vs_default,Sectors
Durable Manufacturing,-0.6733629610197855,sector,durable,tracker_no_fl_301_2026-07-24,delta_vs_default,Manufacturing detail
Nondurable Manufacturing,-0.7689299361291304,sector,nondurable,tracker_no_fl_301_2026-07-24,delta_vs_default,Manufacturing detail
Advanced Manufacturing,1.9599999999999997,sector,advanced,tracker_no_fl_301_2026-07-24,delta_vs_default,Manufacturing detail
Utilities,-0.16923683664108524,sector,utilities,tracker_no_fl_301_2026-07-24,delta_vs_default,Sectors
Construction,0.41000000000000014,sector,construction,tracker_no_fl_301_2026-07-24,delta_vs_default,Sectors
Services,0.038106652317364965,sector,services,tracker_no_fl_301_2026-07-24,delta_vs_default,Sectors
Total,0.06830239295959473,sector,overall_gdp,tracker_no_fl_301_2026-07-24,delta_vs_default,Sectors
USA,0.07,country,usa,tracker_no_fl_301_2026-07-24,delta_vs_default,Trading partners
China,0.05,country,china,tracker_no_fl_301_2026-07-24,delta_vs_default,Trading partners
Canada,-0.09000000000000002,country,canada,tracker_no_fl_301_2026-07-24,delta_vs_default,Trading partners
Mexico,-0.06,country,mexico,tracker_no_fl_301_2026-07-24,delta_vs_default,Trading partners
EU,0,country,eu,tracker_no_fl_301_2026-07-24,delta_vs_default,Trading partners
UK,-0.020000000000000004,country,uk,tracker_no_fl_301_2026-07-24,delta_vs_default,Trading partners
Japan,0.02,country,japan,tracker_no_fl_301_2026-07-24,delta_vs_default,Trading partners
Free-trade partners,-0.01,country,fta,tracker_no_fl_301_2026-07-24,delta_vs_default,Trading partners
Rest of World,0,country,row,tracker_no_fl_301_2026-07-24,delta_vs_default,Trading partners
Total,0.02177431465966162,country,world,tracker_no_fl_301_2026-07-24,delta_vs_default,Trading partners
Agriculture,0.023609767183013552,sector,agriculture,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Sectors
Mining & Extraction,-0.043829122610059335,sector,mining,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Sectors
Total Manufacturing,0.0994280017282676,sector,manufacturing,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Sectors
Durable Manufacturing,0.08309646696143824,sector,durable,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default,Manufacturing detail
