category,value,country_code,substitution
China,3.7991151442827427,chn,Pre-substitution
China,2.2826918524716264,chn,Post-substitution
Canada,1.6554015893085552,ca,Pre-substitution
Canada,2.174358714037133,ca,Post-substitution
Mexico,1.6392138821729108,mx,Pre-substitution
Mexico,1.9957867437386223,mx,Post-substitution
Rest of World,8.759173214204871,row,Pre-substitution
Rest of World,8.47498686043761,row,Post-substitution
Total,15.85290382996908,total,Pre-substitution
Total,14.927824170684993,total,Post-substitution
