category,series,value
2026,conventional,46.2138435053831
2027,conventional,84.51341172538136
2028,conventional,130.7632009268293
2029,conventional,135.103097698373
2030,conventional,139.7031226328631
2031,conventional,145.1589586847105
2032,conventional,150.9334789609191
2033,conventional,156.7992074426708
2034,conventional,162.8079519645391
2035,conventional,168.7322365077056
2026,dynamic,34.7688435053831
2027,dynamic,75.96041172538136
2028,dynamic,124.4652009268293
2029,dynamic,126.599097698373
2030,dynamic,129.7151226328631
2031,dynamic,134.4179586847105
2032,dynamic,139.4584789609191
2033,dynamic,144.5752074426708
2034,dynamic,149.8159519645391
2035,dynamic,154.9202365077056
2026,difference,-11.445
2027,difference,-8.553
2028,difference,-6.298
2029,difference,-8.504
2030,difference,-9.988
2031,difference,-10.741
2032,difference,-11.475
2033,difference,-12.224
2034,difference,-12.992
2035,difference,-13.812
2026-35,conventional,1320.728510049375
2026-35,dynamic,1214.696510049375
2026-35,difference,-106.032
