category,value,substitution,basis
1,-3.5886696734118493,postsub,% of after-tax income
2,-2.2577300360276356,postsub,% of after-tax income
3,-2.1135952032359326,postsub,% of after-tax income
4,-1.8870643654551367,postsub,% of after-tax income
5,-1.8882569998865177,postsub,% of after-tax income
6,-1.8585932835128918,postsub,% of after-tax income
7,-1.758975738588583,postsub,% of after-tax income
8,-1.6896735674009307,postsub,% of after-tax income
9,-1.5293732257471768,postsub,% of after-tax income
10,-1.069213438351882,postsub,% of after-tax income
1,-1349.38,postsub,2025 dollars
2,-1365.99,postsub,2025 dollars
3,-1561.16,postsub,2025 dollars
4,-1624.4,postsub,2025 dollars
5,-1906.27,postsub,2025 dollars
6,-2163.16,postsub,2025 dollars
7,-2406.28,postsub,2025 dollars
8,-2769.46,postsub,2025 dollars
9,-3176.45,postsub,2025 dollars
10,-5347.59,postsub,2025 dollars
