category,value,dimension,category_code,group
Agriculture,-1.1535513672409232,sector,agriculture,Sectors
Mining & Extraction,-0.12201032469272423,sector,mining_and_extraction,Sectors
Total Manufacturing,-0.12413103238788045,sector,total_manufacturing,Sectors
Durable Manufacturing,0.11483259370901841,sector,durable_manufacturing,Manufacturing detail
Advanced Manufacturing,-0.27,sector,advanced_manufacturing,Manufacturing detail
Nondurable Manufacturing,-0.4163940166299072,sector,nondurable_manufacturing,Manufacturing detail
Utilities,-0.13665260950740638,sector,utilities,Sectors
Construction,-1.47,sector,construction,Sectors
Services,0.121134659449873,sector,services,Sectors
Overall Real GDP,-0.06,sector,overall_real_gdp,Sectors
USA,-0.06,country,usa,Trading partners
China,-0.06,country,china,Trading partners
ROW,0.01,country,row,Trading partners
Canada,-1.7,country,canada,Trading partners
Mexico,-0.01,country,mexico,Trading partners
FTROW,0.02,country,ftrow,Trading partners
Japan,0.02,country,japan,Trading partners
EU,0.04,country,eu,Trading partners
UK,0.08,country,uk,Trading partners
World Total,-0.041316578572625495,country,world_total,Trading partners
World ex USA,-0.035589802778290824,country,world_ex_usa,Trading partners
