category,group,substitution,value,scenario,measure
Coal,Commodities,postsub,-0.49491396747508504,ieepa_invalidation,level
Construction,Commodities,presub,0.0,ieepa_invalidation,level
Construction,Commodities,postsub,0.725873818963458,ieepa_invalidation,level
Raw milk,Commodities,presub,0.0,ieepa_invalidation,level
Raw milk,Commodities,postsub,-0.1814684547408645,ieepa_invalidation,level
Water,Commodities,presub,0.0,ieepa_invalidation,level
Water,Commodities,postsub,0.6103938932192716,ieepa_invalidation,level
"Gas manufacture, distribution",Commodities,presub,0.0,ieepa_invalidation,level
"Gas manufacture, distribution",Commodities,postsub,0.13197705799335602,ieepa_invalidation,level
Air transport,Commodities,presub,0.0,ieepa_invalidation,level
Air transport,Commodities,postsub,-0.06598852899667801,ieepa_invalidation,level
Accommodation & food services,Commodities,presub,0.0,ieepa_invalidation,level
Accommodation & food services,Commodities,postsub,0.0,ieepa_invalidation,level
Communication,Commodities,presub,0.0,ieepa_invalidation,level
Communication,Commodities,postsub,0.26395411598671203,ieepa_invalidation,level
Water transport,Commodities,presub,0.0,ieepa_invalidation,level
Water transport,Commodities,postsub,0.21446271923920354,ieepa_invalidation,level
Financial services nec,Commodities,presub,0.0,ieepa_invalidation,level
Financial services nec,Commodities,postsub,0.0,ieepa_invalidation,level
Insurance,Commodities,presub,0.0,ieepa_invalidation,level
Insurance,Commodities,postsub,-0.016497132249169502,ieepa_invalidation,level
Business services nec,Commodities,presub,0.0,ieepa_invalidation,level
Business services nec,Commodities,postsub,0.1814684547408645,ieepa_invalidation,level
Transport nec,Commodities,presub,0.0,ieepa_invalidation,level
Transport nec,Commodities,postsub,0.1814684547408645,ieepa_invalidation,level
Warehousing and support,Commodities,presub,0.0,ieepa_invalidation,level
Warehousing and support,Commodities,postsub,0.6268910254684411,ieepa_invalidation,level
Recreational and other services,Commodities,presub,0.0,ieepa_invalidation,level
Recreational and other services,Commodities,postsub,0.098982793495017,ieepa_invalidation,level
Human health and social work,Commodities,presub,0.0,ieepa_invalidation,level
Human health and social work,Commodities,postsub,0.1484741902425255,ieepa_invalidation,level
Public Administration,Commodities,presub,0.0,ieepa_invalidation,level
Public Administration,Commodities,postsub,0.26395411598671203,ieepa_invalidation,level
Real estate activities,Commodities,presub,0.0,ieepa_invalidation,level
Real estate activities,Commodities,postsub,0.0494913967475085,ieepa_invalidation,level
Trade,Commodities,presub,0.0,ieepa_invalidation,level
Trade,Commodities,postsub,0.16497132249169505,ieepa_invalidation,level
Dwellings,Commodities,presub,0.0,ieepa_invalidation,level
Dwellings,Commodities,postsub,-0.0494913967475085,ieepa_invalidation,level
Education,Commodities,presub,0.0,ieepa_invalidation,level
Education,Commodities,postsub,0.0494913967475085,ieepa_invalidation,level
