category,value,dimension,category_code,group
USA,-0.57,country,usa,Trading partners
China,-0.57,country,china,Trading partners
ROW,0.07,country,row,Trading partners
Canada,-2.19,country,canada,Trading partners
Mexico,-0.02,country,mexico,Trading partners
FTROW,0.1,country,ftrow,Trading partners
Japan,0.04,country,japan,Trading partners
EU,0.11,country,eu,Trading partners
UK,0.24,country,uk,Trading partners
World Total,-0.2153252360309943,country,world_total,World aggregates
World ex USA,-0.10449570847392842,country,world_ex_usa,World aggregates
