category,series,value,unit,metric
Tariff rate,"Effective rate, pre-substitution",15.557490314033927,pct,etr_presub_level
Tariff rate,"Effective rate, post-substitution",14.570568407379335,pct,etr_postsub_level
Consumer price increase,Pre-substitution,1.335474067910698,pct,price_presub
Household cost,Pre-substitution,-1808.3596253454584,usd,hh_cost_presub
Real GDP,"Q4-Q4 growth (p.p.), 2025",-0.5206694689332991,pp,gdp_growth_2025
Real GDP,"Q4-Q4 growth (p.p.), 2026",-0.45213244195765334,pp,gdp_growth_2026
Real GDP,Long-run,-0.42,pct,gdp_longrun
Labor market,"Unemployment rate (p.p.), end of 2025",0.29076337814331055,pp,unemployment_2025
Revenue (10-year),Conventional,2526.9085713776517,usd_b,revenue_conventional
Revenue (10-year),Dynamic,2055.1385713776513,usd_b,revenue_dynamic
