category,value,country_code,substitution,scenario,measure
China,27.21071998714334,chn,presub,tracker_actual_2026-07-24,level
China,24.664960647871503,chn,postsub,tracker_actual_2026-07-24,level
Canada,7.810427766288638,ca,presub,tracker_actual_2026-07-24,level
Canada,4.710835496167022,ca,postsub,tracker_actual_2026-07-24,level
Mexico,6.8781978373056,mx,presub,tracker_actual_2026-07-24,level
Mexico,4.638233091772942,mx,postsub,tracker_actual_2026-07-24,level
UK,7.203481263426444,uk,presub,tracker_actual_2026-07-24,level
UK,6.34207312489149,uk,postsub,tracker_actual_2026-07-24,level
Japan,13.078091558173224,jp,presub,tracker_actual_2026-07-24,level
Japan,12.644036480786736,jp,postsub,tracker_actual_2026-07-24,level
EU,8.187689181146196,eu,presub,tracker_actual_2026-07-24,level
EU,7.018818288025231,eu,postsub,tracker_actual_2026-07-24,level
Rest of World,11.33304891679291,row,presub,tracker_actual_2026-07-24,level
Rest of World,9.86956606082583,row,postsub,tracker_actual_2026-07-24,level
Free-trade partners,11.910456102721168,fta,presub,tracker_actual_2026-07-24,level
Free-trade partners,8.690533701567336,fta,postsub,tracker_actual_2026-07-24,level
Total,10.865264086926953,total,presub,tracker_actual_2026-07-24,level
Total,8.991044614042206,total,postsub,tracker_actual_2026-07-24,level
China,21.51945857795252,chn,presub,tracker_no_fl_301_2026-07-24,level
China,18.610760747542987,chn,postsub,tracker_no_fl_301_2026-07-24,level
Canada,7.652164934273676,ca,presub,tracker_no_fl_301_2026-07-24,level
Canada,4.618769773200089,ca,postsub,tracker_no_fl_301_2026-07-24,level
Mexico,6.590844108856511,mx,presub,tracker_no_fl_301_2026-07-24,level
Mexico,4.585042588275267,mx,postsub,tracker_no_fl_301_2026-07-24,level
UK,4.913709387503837,uk,presub,tracker_no_fl_301_2026-07-24,level
UK,4.496294314840247,uk,postsub,tracker_no_fl_301_2026-07-24,level
Japan,10.33611912513016,jp,presub,tracker_no_fl_301_2026-07-24,level
Japan,9.36052171383519,jp,postsub,tracker_no_fl_301_2026-07-24,level
EU,5.630593439970498,eu,presub,tracker_no_fl_301_2026-07-24,level
EU,4.543871910021232,eu,postsub,tracker_no_fl_301_2026-07-24,level
Rest of World,7.407893403651399,row,presub,tracker_no_fl_301_2026-07-24,level
Rest of World,6.480389065968073,row,postsub,tracker_no_fl_301_2026-07-24,level
Free-trade partners,8.424148023281722,fta,presub,tracker_no_fl_301_2026-07-24,level
Free-trade partners,5.35974781439053,fta,postsub,tracker_no_fl_301_2026-07-24,level
Total,8.292316138446706,total,presub,tracker_no_fl_301_2026-07-24,level
Total,6.827242093614387,total,postsub,tracker_no_fl_301_2026-07-24,level
China,26.6064182860602,chn,presub,tracker_no_fl_301_keep_s122_2026-07-24,level
China,24.190664752950223,chn,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level
Canada,7.830678925508397,ca,presub,tracker_no_fl_301_keep_s122_2026-07-24,level
Canada,4.752517317151174,ca,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level
Mexico,6.930963656655993,mx,presub,tracker_no_fl_301_keep_s122_2026-07-24,level
Mexico,4.670795297930482,mx,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level
UK,8.278020656975347,uk,presub,tracker_no_fl_301_keep_s122_2026-07-24,level
UK,7.202265536349907,uk,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level
Japan,13.223734041075463,jp,presub,tracker_no_fl_301_keep_s122_2026-07-24,level
Japan,12.768851553055889,jp,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level
EU,9.561099435942614,eu,presub,tracker_no_fl_301_keep_s122_2026-07-24,level
EU,8.023491950897165,eu,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level
Rest of World,11.608123496846146,row,presub,tracker_no_fl_301_keep_s122_2026-07-24,level
Rest of World,10.12555813866405,row,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level
Free-trade partners,12.075515582440836,fta,presub,tracker_no_fl_301_keep_s122_2026-07-24,level
Free-trade partners,9.066802453248055,fta,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level
Total,11.132638473787493,total,presub,tracker_no_fl_301_keep_s122_2026-07-24,level
Total,9.352281411723258,total,postsub,tracker_no_fl_301_keep_s122_2026-07-24,level
China,-5.691261409190819,chn,presub,tracker_no_fl_301_2026-07-24,delta_vs_default
China,-6.054199900328516,chn,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default
Canada,-0.1582628320149615,ca,presub,tracker_no_fl_301_2026-07-24,delta_vs_default
Canada,-0.09206572296693238,ca,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default
Mexico,-0.287353728449089,mx,presub,tracker_no_fl_301_2026-07-24,delta_vs_default
Mexico,-0.05319050349767451,mx,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default
UK,-2.2897718759226073,uk,presub,tracker_no_fl_301_2026-07-24,delta_vs_default
UK,-1.8457788100512431,uk,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default
Japan,-2.7419724330430633,jp,presub,tracker_no_fl_301_2026-07-24,delta_vs_default
Japan,-3.283514766951546,jp,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default
EU,-2.557095741175697,eu,presub,tracker_no_fl_301_2026-07-24,delta_vs_default
EU,-2.474946378003999,eu,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default
Rest of World,-3.925155513141511,row,presub,tracker_no_fl_301_2026-07-24,delta_vs_default
Rest of World,-3.389176994857757,row,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default
Free-trade partners,-3.4863080794394463,fta,presub,tracker_no_fl_301_2026-07-24,delta_vs_default
Free-trade partners,-3.3307858871768063,fta,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default
Total,-2.5729479484802464,total,presub,tracker_no_fl_301_2026-07-24,delta_vs_default
Total,-2.1638025204278186,total,postsub,tracker_no_fl_301_2026-07-24,delta_vs_default
China,-0.6043017010831377,chn,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default
China,-0.4742958949212799,chn,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default
Canada,0.020251159219759174,ca,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default
Canada,0.041681820984152296,ca,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default
Mexico,0.05276581935039282,mx,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default
Mexico,0.03256220615754035,mx,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default
UK,1.0745393935489025,uk,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default
UK,0.8601924114584172,uk,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default
Japan,0.14564248290223958,jp,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default
Japan,0.12481507226915234,jp,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default
EU,1.3734102547964184,eu,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default
EU,1.0046736628719346,eu,postsub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default
Rest of World,0.2750745800532357,row,presub,tracker_no_fl_301_keep_s122_2026-07-24,delta_vs_default
