time,series,value,lower_ci,upper_ci
2005Q1,Synthetic,-2.93855,,
2005Q1,Treated,-3.67223,,
2005Q2,Synthetic,-3.12156,,
2005Q2,Treated,-3.60399,,
2005Q3,Synthetic,-3.06768,,
2005Q3,Treated,-3.75155,,
2005Q4,Synthetic,-2.96784,,
2005Q4,Treated,-3.7738,,
2006Q1,Synthetic,-3.08986,,
2006Q1,Treated,-3.90808,,
2006Q2,Synthetic,-3.01474,,
2006Q2,Treated,-3.93163,,
2006Q3,Synthetic,-3.1232,,
2006Q3,Treated,-3.94037,,
2006Q4,Synthetic,-3.0465,,
2006Q4,Treated,-4.07299,,
2007Q1,Synthetic,-3.18102,,
2007Q1,Treated,-4.14443,,
2007Q2,Synthetic,-3.34691,,
2007Q2,Treated,-4.05578,,
2007Q3,Synthetic,-3.21725,,
2007Q3,Treated,-3.91531,,
2007Q4,Synthetic,-3.10465,,
2007Q4,Treated,-4.05154,,
2008Q1,Synthetic,-3.08911,,
2008Q1,Treated,-4.18345,,
2008Q2,Synthetic,-3.03896,,
2008Q2,Treated,-3.8579,,
2008Q3,Synthetic,-2.79019,,
2008Q3,Treated,-3.66939,,
2008Q4,Synthetic,-2.4251,,
2008Q4,Treated,-3.47309,,
2009Q1,Synthetic,-2.37697,,
2009Q1,Treated,-3.10416,,
2009Q2,Synthetic,-2.1182,,
2009Q2,Treated,-3.01024,,
2009Q3,Synthetic,-2.16318,,
2009Q3,Treated,-3.01764,,
2009Q4,Synthetic,-2.08283,,
2009Q4,Treated,-2.96878,,
2010Q1,Synthetic,-2.17583,,
2010Q1,Treated,-2.93205,,
2010Q2,Synthetic,-2.13223,,
2010Q2,Treated,-3.13358,,
2010Q3,Synthetic,-2.17342,,
2010Q3,Treated,-3.10395,,
2010Q4,Synthetic,-2.12239,,
2010Q4,Treated,-2.94795,,
2011Q1,Synthetic,-2.29417,,
2011Q1,Treated,-3.14759,,
2011Q2,Synthetic,-2.225,,
2011Q2,Treated,-3.14392,,
2011Q3,Synthetic,-2.33434,,
2011Q3,Treated,-3.03367,,
2011Q4,Synthetic,-2.34298,,
2011Q4,Treated,-3.0896,,
2012Q1,Synthetic,-2.41851,,
2012Q1,Treated,-3.21033,,
2012Q2,Synthetic,-2.46606,,
2012Q2,Treated,-3.23475,,
2012Q3,Synthetic,-2.57774,,
2012Q3,Treated,-3.32807,,
2012Q4,Synthetic,-2.46962,,
2012Q4,Treated,-3.22156,,
2013Q1,Synthetic,-2.68542,,
2013Q1,Treated,-3.34659,,
2013Q2,Synthetic,-2.5102,,
2013Q2,Treated,-3.37867,,
2013Q3,Synthetic,-2.56061,,
2013Q3,Treated,-3.52794,,
2013Q4,Synthetic,-2.58215,,
2013Q4,Treated,-3.50281,,
2014Q1,Synthetic,-2.66521,,
2014Q1,Treated,-3.47558,,
2014Q2,Synthetic,-2.82785,,
2014Q2,Treated,-3.47501,,
2014Q3,Synthetic,-2.90284,,
2014Q3,Treated,-3.68084,,
2014Q4,Synthetic,-2.8634,,
2014Q4,Treated,-3.65298,,
2015Q1,Synthetic,-2.91482,,
2015Q1,Treated,-3.94822,,
2015Q2,Synthetic,-2.91803,,
2015Q2,Treated,-3.85415,,
2015Q3,Synthetic,-3.11838,,
