category,value,substitution,basis
1,-2.46015790701957,presub,% of after-tax income
2,-1.51838558796014,presub,% of after-tax income
3,-1.46542580753752,presub,% of after-tax income
4,-1.30123172052352,presub,% of after-tax income
5,-1.33313881434702,presub,% of after-tax income
6,-1.31397606449481,presub,% of after-tax income
7,-1.25207140506829,presub,% of after-tax income
8,-1.20687234254024,presub,% of after-tax income
9,-1.10694334248279,presub,% of after-tax income
10,-0.778566466630398,presub,% of after-tax income
1,-925.043974618428,presub,2025 dollars
2,-918.668832283522,presub,2025 dollars
3,-1082.40746422144,presub,2025 dollars
4,-1120.11327734385,presub,2025 dollars
5,-1345.85695863589,presub,2025 dollars
6,-1529.29732218357,presub,2025 dollars
7,-1712.83368213342,presub,2025 dollars
8,-1978.12411304058,presub,2025 dollars
9,-2299.07704460305,presub,2025 dollars
10,-3893.9378975346,presub,2025 dollars
