category,value,dimension,category_code,group
Agriculture,-0.3974729796040985,sector,agriculture,Sectors
Mining & Extraction,-0.6934594800099532,sector,mining,Sectors
Total Manufacturing,0.9535967177941104,sector,manufacturing,Sectors
Durable Manufacturing,1.9024185035551016,sector,durable,Manufacturing detail
Nondurable Manufacturing,-0.04842349139204683,sector,nondurable,Manufacturing detail
Advanced Manufacturing,-0.05,sector,advanced,Manufacturing detail
Utilities,0.28348073394920614,sector,utilities,Sectors
Construction,-1.83,sector,construction,Sectors
Services,-0.04267599830879005,sector,services,Sectors
Total,-0.07359795272350311,sector,overall_gdp,Sectors
USA,-0.07,country,usa,Trading partners
China,-0.07,country,china,Trading partners
Canada,-0.28,country,canada,Trading partners
Mexico,0.03,country,mexico,Trading partners
EU,0.03,country,eu,Trading partners
UK,0.06,country,uk,Trading partners
Japan,0,country,japan,Trading partners
Free-trade partners,0.02,country,fta,Trading partners
Rest of World,0.01,country,row,Trading partners
Total,-0.0218597427336431,country,world,Trading partners
