category,series,value
2025,conventional,149.5875077264432
2026,conventional,244.67679770014664
2027,conventional,235.28101227085637
2028,conventional,244.16031271332773
2029,conventional,252.27188347992802
2030,conventional,260.8792090844638
2031,conventional,271.0724032106959
2032,conventional,281.87102784284497
2033,conventional,292.831951644948
2034,conventional,304.06927894902344
2035,conventional,315.1398784191081
2026-35,conventional,2702.2537553153434
2025-34,conventional,2536.7013846226782
2025,dynamic,141.13250772644318
2026,dynamic,199.75279770014663
2027,dynamic,176.81101227085637
2028,dynamic,192.82131271332773
2029,dynamic,210.15988347992803
2030,dynamic,221.87520908446382
2031,dynamic,230.49440321069588
2032,dynamic,238.69202784284496
2033,dynamic,246.975951644948
2034,dynamic,255.44127894902346
2035,dynamic,263.5568784191081
2026-35,dynamic,2236.580755315343
2025-34,dynamic,2114.156384622678
2025,difference,-8.455
2026,difference,-44.924
2027,difference,-58.47
2028,difference,-51.339
2029,difference,-42.112
2030,difference,-39.004
2031,difference,-40.578
2032,difference,-43.179
2033,difference,-45.856
2034,difference,-48.628
2035,difference,-51.583
2026-35,difference,-465.673
2025-34,difference,-422.5449999999999
