category,value,substitution,basis
1,-3.400859092476924,presub,% of after-tax income
2,-1.7885981030905542,presub,% of after-tax income
3,-2.0382871858585467,presub,% of after-tax income
4,-1.879605660290785,presub,% of after-tax income
5,-1.9886662081335607,presub,% of after-tax income
6,-2.017842334021855,presub,% of after-tax income
7,-1.972284718434998,presub,% of after-tax income
8,-1.880151857424425,presub,% of after-tax income
9,-1.677272963417657,presub,% of after-tax income
10,-0.986521422843306,presub,% of after-tax income
1,-1278.7570273622482,presub,2025 dollars
2,-1082.155510312878,presub,2025 dollars
3,-1505.5400640906985,presub,2025 dollars
4,-1617.9833484349106,presub,2025 dollars
5,-2007.6380837591548,presub,2025 dollars
6,-2348.5061572980167,presub,2025 dollars
7,-2698.085494819077,presub,2025 dollars
8,-3081.662901911504,presub,2025 dollars
9,-3483.628854099937,presub,2025 dollars
10,-4934.007974636967,presub,2025 dollars
