time,series,value
2025-09-02,<5 Weeks,29.6052
2025-09-02,15-26 Weeks,32.7219
2025-09-02,27+ Weeks,33.4385
2025-09-02,5-14 Weeks,30.89
2025-10-02,<5 Weeks,
2025-10-02,15-26 Weeks,
2025-10-02,27+ Weeks,
2025-10-02,5-14 Weeks,
2025-11-02,<5 Weeks,29.0701
2025-11-02,15-26 Weeks,32.5905
2025-11-02,27+ Weeks,33.9542
2025-11-02,5-14 Weeks,30.605
2025-12-02,<5 Weeks,28.2575
2025-12-02,15-26 Weeks,31.8609
2025-12-02,27+ Weeks,33.5864
2025-12-02,5-14 Weeks,31.4983
2026-01-02,<5 Weeks,27.8855
2026-01-02,15-26 Weeks,31.2999
2026-01-02,27+ Weeks,32.7017
2026-01-02,5-14 Weeks,30.5561
2026-02-02,<5 Weeks,28.6569
2026-02-02,15-26 Weeks,31.3264
2026-02-02,27+ Weeks,31.8282
2026-02-02,5-14 Weeks,29.3903
2026-03-02,<5 Weeks,28.5787
2026-03-02,15-26 Weeks,29.6037
2026-03-02,27+ Weeks,31.3929
2026-03-02,5-14 Weeks,28.7265
2026-04-02,<5 Weeks,29.1639
2026-04-02,15-26 Weeks,29.1341
2026-04-02,27+ Weeks,31.794
2026-04-02,5-14 Weeks,29.6667
2026-05-02,<5 Weeks,28.9797
2026-05-02,15-26 Weeks,30.2004
2026-05-02,27+ Weeks,32.1017
2026-05-02,5-14 Weeks,30.229
