category,group,substitution,value
Wearing apparel,Commodities,presub,24.422981590714993
Wearing apparel,Commodities,postsub,8.391602847831262
Leather products,Commodities,presub,24.16837424694611
Leather products,Commodities,postsub,8.302802817695481
Crops nec,Commodities,presub,23.799851596312283
Crops nec,Commodities,postsub,8.006802717242879
Metals nec,Commodities,presub,18.80652347006489
Metals nec,Commodities,postsub,6.8474689904701895
Electrical equipment,Commodities,presub,18.297710774124692
Electrical equipment,Commodities,postsub,7.025069050741751
Metal products,Commodities,presub,16.356113736837045
Metal products,Commodities,postsub,5.485868528388219
"Computer, electronic and optical",Commodities,presub,15.60168193756926
"Computer, electronic and optical",Commodities,postsub,5.4464018483278736
Textiles,Commodities,presub,14.77799165908249
Textiles,Commodities,postsub,5.012268367664057
Machinery and equipment nec,Commodities,presub,11.658285910790312
Machinery and equipment nec,Commodities,postsub,4.997468362641428
Transport equipment nec,Commodities,presub,11.371169148157701
Transport equipment nec,Commodities,postsub,4.972801687603711
Motor vehicles and parts,Commodities,presub,10.434267461367824
Motor vehicles and parts,Commodities,postsub,5.36746848820718
Manufactures nec,Commodities,presub,8.790070107335866
Manufactures nec,Commodities,postsub,3.4385345002577243
Mineral products nec,Commodities,presub,8.316355095315929
Mineral products nec,Commodities,postsub,3.24120109995599
Rubber and plastic products,Commodities,presub,7.859793203347602
Rubber and plastic products,Commodities,postsub,3.2856011150238804
Ferrous metals,Commodities,presub,5.352562047356496
Ferrous metals,Commodities,postsub,2.6541342340583296
Processed rice,Commodities,presub,4.995293260930399
Processed rice,Commodities,postsub,5.4464018483278736
Wood products,Commodities,presub,3.3129530783645214
Wood products,Commodities,postsub,2.1016007132134726
Fishing,Commodities,presub,3.2718188705015114
Fishing,Commodities,postsub,2.2989341135152075
"Vegetables, fruit, nuts",Commodities,presub,3.2699496097880876
"Vegetables, fruit, nuts",Commodities,postsub,1.8648006328513915
Chemical products,Commodities,presub,3.2163192250120685
Chemical products,Commodities,postsub,1.938800657964542
Vegetable oils and fats,Commodities,presub,2.782591181515579
Vegetable oils and fats,Commodities,postsub,1.5490671923686163
Food products nec,Commodities,presub,2.5262487224151333
Food products nec,Commodities,postsub,1.8105339477684146
Beverages and tobacco products,Commodities,presub,1.797586304405015
Beverages and tobacco products,Commodities,postsub,1.9437339929720854
Paddy rice,Commodities,presub,1.7513194922622612
Paddy rice,Commodities,postsub,1.179067066802864
"Paper products, publishing",Commodities,presub,1.7423374309375044
"Paper products, publishing",Commodities,postsub,1.6329338874968533
Forestry,Commodities,presub,1.1345674093844635
Forestry,Commodities,postsub,1.0754670316444535
Animal products nec,Commodities,presub,0.962146451422399
Animal products nec,Commodities,postsub,0.9718669964860427
Cereal grains nec,Commodities,presub,0.8846491164142496
Cereal grains nec,Commodities,postsub,1.1741337317953204
Sugar,Commodities,presub,0.849310541864924
Sugar,Commodities,postsub,1.4158671471649455
Bovine meat products,Commodities,presub,0.7527664682060984
Bovine meat products,Commodities,postsub,1.0557336916142799
Oil,Commodities,presub,0.6148155360493026
Oil,Commodities,postsub,0.11840004018104072
Dairy products,Commodities,presub,0.4856338019073246
Dairy products,Commodities,postsub,1.223467081870754
Meat products nec,Commodities,presub,0.3247189667237231
Meat products nec,Commodities,postsub,0.9274669814181523
Oil seeds,Commodities,presub,0.29215622840001604
Oil seeds,Commodities,postsub,0.4292001456562727
Basic pharmaceutical products,Commodities,presub,0.2567633630172452
Basic pharmaceutical products,Commodities,postsub,0.49826683576187975
"Wool, silk-worm cocoons",Commodities,presub,0.21634736247147363
"Wool, silk-worm cocoons",Commodities,postsub,5.2984017981015725
"Petroleum, coal products",Commodities,presub,0.16209138787972238
"Petroleum, coal products",Commodities,postsub,0.20720007031682125
Electricity,Commodities,presub,0.13010049213974076
Electricity,Commodities,postsub,0.7054669060787009
Minerals nec,Commodities,presub,0.09100467286393935
Minerals nec,Commodities,postsub,0.25160008538471157
Plant-based fibers,Commodities,presub,0.08145340838986119
Plant-based fibers,Commodities,postsub,0.7893336012069382
Natural gas,Commodities,presub,0.07346505994383803
Natural gas,Commodities,postsub,0.379866795580839
"Bovine cattle, sheep and goats",Commodities,presub,0.030414176415393446
"Bovine cattle, sheep and goats",Commodities,postsub,0.7548002561541347
"Sugar cane, sugar beet",Commodities,presub,0.008433610590591523
"Sugar cane, sugar beet",Commodities,postsub,0.379866795580839
Wheat,Commodities,presub,0.0069655778581019815
Wheat,Commodities,postsub,0.8090669412371115
Coal,Commodities,presub,0.00018542433361135496
Coal,Commodities,postsub,0.2960001004526018
Construction,Commodities,presub,0.0
Construction,Commodities,postsub,1.1642670617802338
Raw milk,Commodities,presub,0.0
Raw milk,Commodities,postsub,1.0064003415388463
Water,Commodities,presub,0.0
Water,Commodities,postsub,1.0360003515841065
"Gas manufacture, distribution",Commodities,presub,0.0
"Gas manufacture, distribution",Commodities,postsub,0.7153335760937877
Air transport,Commodities,presub,0.0
Air transport,Commodities,postsub,0.4686668257166195
Accommodation & food services,Commodities,presub,0.0
Accommodation & food services,Commodities,postsub,0.759733591161678
Communication,Commodities,presub,0.0
Communication,Commodities,postsub,0.8386669512823718
Water transport,Commodities,presub,0.0
Water transport,Commodities,postsub,0.7104002410862443
Financial services nec,Commodities,presub,0.0
Financial services nec,Commodities,postsub,0.6808002310409842
Insurance,Commodities,presub,0.0
Insurance,Commodities,postsub,0.6265335459580071
Business services nec,Commodities,presub,0.0
Business services nec,Commodities,postsub,0.7942669362144816
Transport nec,Commodities,presub,0.0
Transport nec,Commodities,postsub,0.7202669111013311
Warehousing and support,Commodities,presub,0.0
Warehousing and support,Commodities,postsub,0.9669336614784992
Recreational and other services,Commodities,presub,0.0
Recreational and other services,Commodities,postsub,0.799200271222025
Human health and social work,Commodities,presub,0.0
Human health and social work,Commodities,postsub,0.8386669512823718
Public Administration,Commodities,presub,0.0
Public Administration,Commodities,postsub,0.8436002862899151
Real estate activities,Commodities,presub,0.0
Real estate activities,Commodities,postsub,0.7252002461088743
Trade,Commodities,presub,0.0
Trade,Commodities,postsub,0.7942669362144816
Dwellings,Commodities,presub,0.0
Dwellings,Commodities,postsub,0.6709335610258975
Education,Commodities,presub,0.0
Education,Commodities,postsub,0.7202669111013311
