category,value,dimension,category_code,group
Agriculture,-1.1198515080034226,sector,agriculture,Sectors
Mining & Extraction,-1.0597957875604531,sector,mining_and_extraction,Sectors
Total Manufacturing,1.4570602287737082,sector,total_manufacturing,Sectors
Durable Manufacturing,2.0462443974924613,sector,durable_manufacturing,Manufacturing detail
Advanced Manufacturing,0.15,sector,advanced_manufacturing,Manufacturing detail
Nondurable Manufacturing,1.0553247872069822,sector,nondurable_manufacturing,Manufacturing detail
Utilities,0.12469216196280596,sector,utilities,Sectors
Construction,-3.11,sector,construction,Sectors
Services,-0.0247377469477561,sector,services,Sectors
Overall Real GDP,-0.36,sector,overall_real_gdp,Sectors
USA,-0.36,country,usa,Trading partners
China,-0.28,country,china,Trading partners
ROW,0.05,country,row,Trading partners
Canada,-2.28,country,canada,Trading partners
Mexico,-0.05,country,mexico,Trading partners
FTROW,0.07,country,ftrow,Trading partners
Japan,0.03,country,japan,Trading partners
EU,0.08,country,eu,Trading partners
UK,0.24,country,uk,Trading partners
World Total,-0.13484272663409902,country,world_total,Trading partners
World ex USA,-0.06289963941402688,country,world_ex_usa,Trading partners
