category,series,value,unit,metric
Tariff rate,"Effective rate, pre-substitution",10.4882425637849,pct,etr_presub_level
Tariff rate,"Effective rate, post-substitution",9.14835051661042,pct,etr_postsub_level
Consumer price increase,Pre-substitution,0.696417117438444,pct,price_presub
Consumer price increase,Post-substitution,0.571484396074239,pct,price_postsub
Household cost,Pre-substitution,942.904018350102,usd,hh_cost_presub
Household cost,Post-substitution,773.753143037026,usd,hh_cost_postsub
Real GDP,"Q4-Q4 growth (p.p.), 2026",0.261071710970473,pp,gdp_growth_2026
Real GDP,Long-run,-0.131999239325523,pct,gdp_longrun
Labor market,"Unemployment rate (p.p.), end of 2026",0.114461805973387,pp,unemployment_2026
Revenue (10-year),Conventional,1607.76978419395,usd_b,revenue_conventional
Revenue (10-year),Dynamic,1487.65078419395,usd_b,revenue_dynamic
