category,series,rate_group,duration,value,unit,metric
Tariff rate,"Effective rate, pre-substitution",current,only,10.4882425637849,pct,etr_presub_level
Tariff rate,"Effective rate, pre-substitution",before_scotus,only,14.2524840748532,pct,etr_presub_level
Tariff rate,"Effective rate, pre-substitution",immediately_following_scotus,only,7.29447751484948,pct,etr_presub_level
Tariff rate,"Effective rate, pre-substitution",pct10,expires,7.29447751484948,pct,etr_presub_level
Tariff rate,"Effective rate, pre-substitution",pct10,extended,10.4882425637849,pct,etr_presub_level
Tariff rate,"Effective rate, pre-substitution",pct15,expires,7.29447751484948,pct,etr_presub_level
Tariff rate,"Effective rate, pre-substitution",pct15,extended,12.0851250882526,pct,etr_presub_level
Tariff rate,"Effective rate, post-substitution",current,only,9.14835051661042,pct,etr_postsub_level
Tariff rate,"Effective rate, post-substitution",before_scotus,only,11.5569237385501,pct,etr_postsub_level
Tariff rate,"Effective rate, post-substitution",immediately_following_scotus,only,6.249578522330889,pct,etr_postsub_level
Tariff rate,"Effective rate, post-substitution",pct10,expires,6.249578522330889,pct,etr_postsub_level
Tariff rate,"Effective rate, post-substitution",pct10,extended,9.14835051661042,pct,etr_postsub_level
Tariff rate,"Effective rate, post-substitution",pct15,expires,6.249578522330889,pct,etr_postsub_level
Tariff rate,"Effective rate, post-substitution",pct15,extended,10.3717827193477,pct,etr_postsub_level
Consumer price increase,Pre-substitution,current,only,0.696417117438444,pct,price_presub
Consumer price increase,Pre-substitution,before_scotus,only,1.01953860415531,pct,price_presub
Consumer price increase,Pre-substitution,immediately_following_scotus,only,0.42226517798345903,pct,price_presub
Consumer price increase,Pre-substitution,pct10,expires,0.42226517798345903,pct,price_presub
Consumer price increase,Pre-substitution,pct10,extended,0.696417117438444,pct,price_presub
Consumer price increase,Pre-substitution,pct15,expires,0.42226517798345903,pct,price_presub
Consumer price increase,Pre-substitution,pct15,extended,0.8334930871659371,pct,price_presub
Consumer price increase,Post-substitution,current,only,0.571484396074239,pct,price_postsub
Consumer price increase,Post-substitution,before_scotus,only,0.772792621364966,pct,price_postsub
Consumer price increase,Post-substitution,immediately_following_scotus,only,0.333557886888199,pct,price_postsub
Consumer price increase,Post-substitution,pct10,expires,0.333557886888199,pct,price_postsub
Consumer price increase,Post-substitution,pct10,extended,0.571484396074239,pct,price_postsub
Consumer price increase,Post-substitution,pct15,expires,0.333557886888199,pct,price_postsub
Consumer price increase,Post-substitution,pct15,extended,0.667075709554967,pct,price_postsub
Household cost,Pre-substitution,current,only,942.904018350102,usd,hh_cost_presub
Household cost,Pre-substitution,before_scotus,only,1380.38974437768,usd,hh_cost_presub
Household cost,Pre-substitution,immediately_following_scotus,only,571.719912046988,usd,hh_cost_presub
Household cost,Pre-substitution,pct10,expires,571.719912046988,usd,hh_cost_presub
Household cost,Pre-substitution,pct10,extended,942.904018350102,usd,hh_cost_presub
Household cost,Pre-substitution,pct15,expires,571.719912046988,usd,hh_cost_presub
Household cost,Pre-substitution,pct15,extended,1128.49607150166,usd,hh_cost_presub
Household cost,Post-substitution,current,only,773.753143037026,usd,hh_cost_postsub
