category,value,substitution,scenario,measure,basis
1,-1.5421414645951872,presub,tracker_actual_2026-07-23,level,% of after-tax income
2,-0.9517947477094388,presub,tracker_actual_2026-07-23,level,% of after-tax income
3,-0.9185970927489427,presub,tracker_actual_2026-07-23,level,% of after-tax income
4,-0.8156725979012083,presub,tracker_actual_2026-07-23,level,% of after-tax income
5,-0.8356734491715879,presub,tracker_actual_2026-07-23,level,% of after-tax income
6,-0.8236613457865027,presub,tracker_actual_2026-07-23,level,% of after-tax income
7,-0.7848566243981386,presub,tracker_actual_2026-07-23,level,% of after-tax income
8,-0.7565237485748207,presub,tracker_actual_2026-07-23,level,% of after-tax income
9,-0.6938836009385945,presub,tracker_actual_2026-07-23,level,% of after-tax income
10,-0.4880416934653906,presub,tracker_actual_2026-07-23,level,% of after-tax income
Total,-0.7094390777064391,presub,tracker_actual_2026-07-23,level,% of after-tax income
1,-1.3143326760885048,postsub,tracker_actual_2026-07-23,level,% of after-tax income
2,-0.8111933739958881,postsub,tracker_actual_2026-07-23,level,% of after-tax income
3,-0.782899755228854,postsub,tracker_actual_2026-07-23,level,% of after-tax income
4,-0.6951795104562446,postsub,tracker_actual_2026-07-23,level,% of after-tax income
5,-0.7122257886205806,postsub,tracker_actual_2026-07-23,level,% of after-tax income
6,-0.7019881415888182,postsub,tracker_actual_2026-07-23,level,% of after-tax income
7,-0.668915745522595,postsub,tracker_actual_2026-07-23,level,% of after-tax income
8,-0.6447682692001683,postsub,tracker_actual_2026-07-23,level,% of after-tax income
9,-0.5913814724869938,postsub,tracker_actual_2026-07-23,level,% of after-tax income
10,-0.4159470189613983,postsub,tracker_actual_2026-07-23,level,% of after-tax income
Total,-0.6046390573957044,postsub,tracker_actual_2026-07-23,level,% of after-tax income
1,-0.8034344600049812,presub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
2,-0.4958719525528391,presub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
3,-0.47857643161720353,presub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
4,-0.42495418758981657,presub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
5,-0.43537435558930393,presub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
6,-0.4291162151927915,presub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
7,-0.4088994898857601,presub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
8,-0.39413845186810254,presub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
9,-0.361503797819711,presub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
10,-0.25426299950517944,presub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
Total,-0.36960798693855695,presub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
1,-0.6865191584911454,postsub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
2,-0.4237129629513597,postsub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
3,-0.4089342758655145,postsub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
4,-0.36311510867935687,postsub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
5,-0.3720189400712792,postsub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
6,-0.3666714805178185,postsub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
7,-0.34939668097145116,postsub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
8,-0.3367836603670385,postsub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
9,-0.3088979816337507,postsub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
10,-0.2172628000728872,postsub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
Total,-0.31582285400490684,postsub,tracker_no_fl_301_2026-07-23,level,% of after-tax income
1,-1.5787815164472287,presub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
2,-0.9744086321741362,presub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
3,-0.9404222273959068,presub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
4,-0.8350523285987647,presub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
5,-0.855528384151278,presub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
6,-0.8432308827654347,presub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
7,-0.8035041921307882,presub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
8,-0.774498149763987,presub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
9,-0.7103697221546822,presub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
10,-0.4996371750506188,presub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
Total,-0.7262947846501935,presub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
1,-1.3858910814336247,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
2,-0.8553585274047075,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
3,-0.8255244719755972,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
4,-0.7330283276559321,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
5,-0.7510026847645879,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
6,-0.7402076524456701,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
7,-0.7053346407769465,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
8,-0.6798724631386518,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
9,-0.6235790400372115,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
10,-0.4385931160465853,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
Total,-0.6375584297462245,postsub,tracker_no_fl_301_keep_s122_2026-07-23,level,% of after-tax income
1,0.738707004590206,presub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
2,0.4559227951565997,presub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
3,0.4400206611317392,presub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
4,0.3907184103113917,presub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
5,0.400299093582284,presub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
6,0.39454513059371127,presub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
7,0.37595713451237855,presub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
8,0.3623852967067182,presub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
9,0.3323798031188835,presub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
10,0.23377869396021117,presub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
Total,0.33983109076788215,presub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
1,0.6278135175973594,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
2,0.3874804110445284,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
3,0.3739654793633395,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
4,0.33206440177688773,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
5,0.3402068485493014,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
6,0.33531666107099967,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
7,0.31951906455114387,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
8,0.3079846088331298,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
9,0.2824834908532431,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
10,0.1986842188885111,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
Total,0.2888162033907976,postsub,tracker_no_fl_301_2026-07-23,delta_vs_default,% of after-tax income
1,-0.036640051852041555,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,% of after-tax income
2,-0.022613884464697365,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,% of after-tax income
3,-0.021825134646964006,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,% of after-tax income
4,-0.019379730697556385,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,% of after-tax income
5,-0.019854934979690042,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,% of after-tax income
6,-0.019569536978931934,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,% of after-tax income
7,-0.018647567732649528,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,% of after-tax income
8,-0.017974401189166267,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,% of after-tax income
9,-0.016486121216087724,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,% of after-tax income
10,-0.011595481585228162,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,% of after-tax income
Total,-0.01685570694375438,presub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,% of after-tax income
1,-0.07155840534511992,postsub,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,% of after-tax income
