group,item,col,value
s122,Rate,detail,10% flat rate
s122,Exemptions,detail,"Certain critical minerals, energy products, agricultural goods, pharmaceuticals, electronics, etc."
s232,Steel,detail,15-50%
s232,Aluminum,detail,15-50%
s232,Copper,detail,15-50%
s232,Automobiles,detail,25%
s232,Auto parts,detail,25%
s232,Medium/heavy trucks & buses,detail,25% on trucks/parts; 10% buses
s232,Lumber/wood products,detail,10-25%
s232,Patented pharmaceuticals,detail,100%
