category,value,dimension,category_code,scenario,measure,group
Services,0.035587458060074496,sector,services,tracker_no_fl_301_2026-07-23,delta_vs_default,Sectors
Total,0.06843790411949158,sector,overall_gdp,tracker_no_fl_301_2026-07-23,delta_vs_default,Sectors
USA,0.07,country,usa,tracker_no_fl_301_2026-07-23,delta_vs_default,Trading partners
China,0.039999999999999994,country,china,tracker_no_fl_301_2026-07-23,delta_vs_default,Trading partners
Canada,-0.10000000000000003,country,canada,tracker_no_fl_301_2026-07-23,delta_vs_default,Trading partners
Mexico,-0.06,country,mexico,tracker_no_fl_301_2026-07-23,delta_vs_default,Trading partners
EU,0,country,eu,tracker_no_fl_301_2026-07-23,delta_vs_default,Trading partners
UK,-0.020000000000000004,country,uk,tracker_no_fl_301_2026-07-23,delta_vs_default,Trading partners
Japan,0.01,country,japan,tracker_no_fl_301_2026-07-23,delta_vs_default,Trading partners
Free-trade partners,0,country,fta,tracker_no_fl_301_2026-07-23,delta_vs_default,Trading partners
Rest of World,0,country,row,tracker_no_fl_301_2026-07-23,delta_vs_default,Trading partners
Total,0.02003223698586743,country,world,tracker_no_fl_301_2026-07-23,delta_vs_default,Trading partners
Agriculture,0.02582706927196457,sector,agriculture,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Sectors
Mining & Extraction,-0.04838755279053575,sector,mining,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Sectors
Total Manufacturing,0.10353013049622439,sector,manufacturing,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Sectors
Durable Manufacturing,0.08928099892151442,sector,durable,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Manufacturing detail
Nondurable Manufacturing,-0.013578451511937373,sector,nondurable,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Manufacturing detail
Advanced Manufacturing,0.5,sector,advanced,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Manufacturing detail
Utilities,0.017506634060578175,sector,utilities,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Sectors
Construction,-0.14000000000000012,sector,construction,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Sectors
Services,-0.010383112907276185,sector,services,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Sectors
Total,0.006770193576812716,sector,overall_gdp,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Sectors
USA,0,country,usa,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Trading partners
China,0.009999999999999995,country,china,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Trading partners
Canada,0,country,canada,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Trading partners
Mexico,0.010000000000000009,country,mexico,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Trading partners
EU,-0.009999999999999998,country,eu,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Trading partners
UK,-0.020000000000000004,country,uk,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Trading partners
Japan,0,country,japan,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Trading partners
Free-trade partners,0,country,fta,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Trading partners
Rest of World,-0.01,country,row,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Trading partners
Total,-0.0031156865622938776,country,world,tracker_no_fl_301_keep_s122_2026-07-23,delta_vs_default,Trading partners
