category,value,country_code,substitution
China,3.7991151442827427,chn,Pre-substitution
China,2.280628240212198,chn,Post-substitution
Canada,1.6554015893085552,ca,Pre-substitution
Canada,2.1754242570130637,ca,Post-substitution
Mexico,1.8476637354650143,mx,Pre-substitution
Mexico,2.228579936447915,mx,Post-substitution
Rest of World,8.692322607665016,row,Pre-substitution
Rest of World,8.436444005859727,row,Post-substitution
Total,15.994503076721328,total,Pre-substitution
Total,15.121076439532903,total,Post-substitution
