category,series,value
2026,conventional,253.481102287346
2027,conventional,244.493911021087
2028,conventional,253.711820343759
2029,conventional,262.1339461491
2030,conventional,271.062868475947
2031,conventional,281.649756710822
2032,conventional,292.857124826821
2033,conventional,304.239796579027
2034,conventional,315.901898133502
2035,conventional,327.398253245326
2026,dynamic,211.196102287346
2027,dynamic,191.133911021087
2028,dynamic,208.606820343759
2029,dynamic,226.0639461491
2030,dynamic,237.967868475947
2031,dynamic,247.425756710822
2032,dynamic,256.495124826821
2033,dynamic,265.643796579027
2034,dynamic,275.007898133502
2035,dynamic,284.038253245326
