category,series,value,scenario,measure
2026,conventional,80.90448599227298,tracker_actual_2026-08-11,level
2026,dynamic,67.22048599227298,tracker_actual_2026-08-11,level
2027,conventional,144.99305979460584,tracker_actual_2026-08-11,level
2027,dynamic,137.41105979460585,tracker_actual_2026-08-11,level
2028,conventional,190.99387784359027,tracker_actual_2026-08-11,level
2028,dynamic,183.99487784359027,tracker_actual_2026-08-11,level
2029,conventional,194.12608046051932,tracker_actual_2026-08-11,level
2029,dynamic,183.4040804605193,tracker_actual_2026-08-11,level
2030,conventional,197.41088561201212,tracker_actual_2026-08-11,level
2030,dynamic,184.88588561201212,tracker_actual_2026-08-11,level
2031,conventional,201.68553946784263,tracker_actual_2026-08-11,level
2031,dynamic,188.2285394678427,tracker_actual_2026-08-11,level
2032,conventional,209.69262879417784,tracker_actual_2026-08-11,level
2032,dynamic,195.30662879417784,tracker_actual_2026-08-11,level
2033,conventional,217.8349508151036,tracker_actual_2026-08-11,level
2033,dynamic,202.5019508151036,tracker_actual_2026-08-11,level
2034,conventional,226.1660872173406,tracker_actual_2026-08-11,level
2034,dynamic,209.8630872173406,tracker_actual_2026-08-11,level
2035,conventional,234.38942100724176,tracker_actual_2026-08-11,level
2035,dynamic,217.04942100724176,tracker_actual_2026-08-11,level
Total,conventional,1898.197017004707,tracker_actual_2026-08-11,level
Total,dynamic,1769.866017004707,tracker_actual_2026-08-11,level
2026,conventional,65.75016448938729,tracker_no_fl_301_2026-08-11,level
2026,dynamic,53.56416448938729,tracker_no_fl_301_2026-08-11,level
2027,conventional,84.06840244962962,tracker_no_fl_301_2026-08-11,level
2027,dynamic,80.82040244962961,tracker_no_fl_301_2026-08-11,level
2028,conventional,128.2108235508854,tracker_no_fl_301_2026-08-11,level
2028,dynamic,125.8738235508854,tracker_no_fl_301_2026-08-11,level
2029,conventional,129.72076228459483,tracker_no_fl_301_2026-08-11,level
2029,dynamic,124.14876228459482,tracker_no_fl_301_2026-08-11,level
2030,conventional,131.29331759290946,tracker_no_fl_301_2026-08-11,level
2030,dynamic,124.51631759290946,tracker_no_fl_301_2026-08-11,level
2031,conventional,133.47930264825527,tracker_no_fl_301_2026-08-11,level
2031,dynamic,126.20930264825527,tracker_no_fl_301_2026-08-11,level
2032,conventional,138.77892795447244,tracker_no_fl_301_2026-08-11,level
2032,dynamic,131.01592795447243,tracker_no_fl_301_2026-08-11,level
2033,conventional,144.1678508038516,tracker_no_fl_301_2026-08-11,level
2033,dynamic,135.9028508038516,tracker_no_fl_301_2026-08-11,level
2034,conventional,149.68196952242033,tracker_no_fl_301_2026-08-11,level
2034,dynamic,140.90296952242034,tracker_no_fl_301_2026-08-11,level
2035,conventional,155.12451572488737,tracker_no_fl_301_2026-08-11,level
2035,dynamic,145.79551572488737,tracker_no_fl_301_2026-08-11,level
Total,conventional,1260.2760370212936,tracker_no_fl_301_2026-08-11,level
Total,dynamic,1188.7500370212936,tracker_no_fl_301_2026-08-11,level
2026,conventional,82.13056664861008,tracker_no_polysilicon_2026-08-11,level
2026,dynamic,68.44656664861009,tracker_no_polysilicon_2026-08-11,level
2027,conventional,144.5545313027433,tracker_no_polysilicon_2026-08-11,level
2027,dynamic,137.0245313027433,tracker_no_polysilicon_2026-08-11,level
2028,conventional,190.1346296541092,tracker_no_polysilicon_2026-08-11,level
2028,dynamic,183.1716296541092,tracker_no_polysilicon_2026-08-11,level
2029,conventional,193.1695427357098,tracker_no_polysilicon_2026-08-11,level
2029,dynamic,182.45254273570976,tracker_no_polysilicon_2026-08-11,level
2030,conventional,196.35073825278508,tracker_no_polysilicon_2026-08-11,level
2030,dynamic,183.8227382527851,tracker_no_polysilicon_2026-08-11,level
2031,conventional,200.510222553907,tracker_no_polysilicon_2026-08-11,level
2031,dynamic,187.049222553907,tracker_no_polysilicon_2026-08-11,level
