category,series,value,unit,metric
Tariff rate,Average statutory rate,12.5049269371539,pct,etr_statutory_level
Tariff rate,"Effective rate, pre-substitution",10.774551780224185,pct,etr_presub_level
Tariff rate,"Effective rate, post-substitution",8.974112123065307,pct,etr_postsub_level
Consumer price increase,Pre-substitution,0.778056287368543,pct,price_presub
Consumer price increase,Post-substitution,0.6631199703802942,pct,price_postsub
Household cost,Pre-substitution,1053.776685096503,usd,hh_cost_presub
Household cost,Post-substitution,898.110298127628,usd,hh_cost_postsub
Real GDP,2025 Q4/Q4,-0.2964486812438216,pp,gdp_2025_q4q4
Real GDP,2026 Q4/Q4,0.21929022711140167,pp,gdp_2026_q4q4
Real GDP,Long-run,-0.1420358568429947,pct,gdp_long_run
Revenue (10-year),Conventional,1910.78562773465,usd_bn,revenue_conventional
Revenue (10-year),Dynamic,1783.46262773465,usd_bn,revenue_dynamic
