time,series,value
1790,Effective Tariff Rate,12.5
1791,Effective Tariff Rate,10.0
1792,Effective Tariff Rate,15.63
1793,Effective Tariff Rate,22.58
1794,Effective Tariff Rate,30.0
1795,Effective Tariff Rate,17.46
1796,Effective Tariff Rate,22.81
1797,Effective Tariff Rate,24.0
1798,Effective Tariff Rate,31.58
1799,Effective Tariff Rate,44.44
1800,Effective Tariff Rate,29.63
1801,Effective Tariff Rate,29.85
1802,Effective Tariff Rate,34.88
1803,Effective Tariff Rate,26.92
1804,Effective Tariff Rate,41.18
1805,Effective Tariff Rate,33.33
1806,Effective Tariff Rate,34.21
1807,Effective Tariff Rate,31.76
1808,Effective Tariff Rate,24.44
1809,Effective Tariff Rate,30.0
1810,Effective Tariff Rate,26.15
1811,Effective Tariff Rate,23.81
1812,Effective Tariff Rate,21.43
1813,Effective Tariff Rate,36.84
1814,Effective Tariff Rate,30.77
1815,Effective Tariff Rate,48.1
1816,Effective Tariff Rate,24.63
1817,Effective Tariff Rate,26.83
1818,Effective Tariff Rate,24.07
1819,Effective Tariff Rate,28.38
1820,Effective Tariff Rate,29.82
1821,Effective Tariff Rate,43.21
1822,Effective Tariff Rate,35.23
1823,Effective Tariff Rate,43.69
1824,Effective Tariff Rate,47.39
1825,Effective Tariff Rate,47.72
1826,Effective Tariff Rate,45.28
1827,Effective Tariff Rate,50.93
1828,Effective Tariff Rate,44.74
1829,Effective Tariff Rate,50.73
1830,Effective Tariff Rate,57.32
1831,Effective Tariff Rate,44.23
1832,Effective Tariff Rate,38.97
1833,Effective Tariff Rate,28.99
1834,Effective Tariff Rate,21.83
1835,Effective Tariff Rate,21.25
1836,Effective Tariff Rate,19.51
1837,Effective Tariff Rate,16.05
1838,Effective Tariff Rate,23.11
1839,Effective Tariff Rate,17.57
1840,Effective Tariff Rate,17.6
1841,Effective Tariff Rate,17.37
1842,Effective Tariff Rate,18.96
1843,Effective Tariff Rate,20.13
1844,Effective Tariff Rate,30.5
1845,Effective Tariff Rate,29.34
1846,Effective Tariff Rate,27.7
1847,Effective Tariff Rate,24.2
1848,Effective Tariff Rate,23.49
1849,Effective Tariff Rate,23.41
1850,Effective Tariff Rate,24.5
1851,Effective Tariff Rate,24.26
1852,Effective Tariff Rate,24.35
1853,Effective Tariff Rate,23.37
1854,Effective Tariff Rate,23.52
1855,Effective Tariff Rate,23.36
1856,Effective Tariff Rate,21.68
1857,Effective Tariff Rate,19.09
1858,Effective Tariff Rate,17.33
1859,Effective Tariff Rate,15.43
1860,Effective Tariff Rate,15.67
1861,Effective Tariff Rate,14.21
1862,Effective Tariff Rate,26.08
1863,Effective Tariff Rate,28.28
1864,Effective Tariff Rate,32.04
1865,Effective Tariff Rate,38.46
1866,Effective Tariff Rate,41.81
1867,Effective Tariff Rate,44.56
1868,Effective Tariff Rate,46.56
1869,Effective Tariff Rate,44.76
1870,Effective Tariff Rate,44.89
1871,Effective Tariff Rate,40.51
1872,Effective Tariff Rate,37.99
1873,Effective Tariff Rate,27.9
1874,Effective Tariff Rate,28.29
1875,Effective Tariff Rate,29.36
1876,Effective Tariff Rate,31.25
1877,Effective Tariff Rate,29.2
1878,Effective Tariff Rate,29.0
1879,Effective Tariff Rate,30.33
1880,Effective Tariff Rate,29.12
1881,Effective Tariff Rate,29.79
1882,Effective Tariff Rate,30.16
1883,Effective Tariff Rate,30.04
1884,Effective Tariff Rate,28.5
1885,Effective Tariff Rate,30.75
1886,Effective Tariff Rate,30.35
1887,Effective Tariff Rate,31.52
1888,Effective Tariff Rate,30.55
1889,Effective Tariff Rate,30.02
