category,value,substitution,scenario,measure,basis
1,-1.5755047367042987,presub,tracker_actual_2026-08-24,level,% of after-tax income
2,-0.9723862355131788,presub,tracker_actual_2026-08-24,level,% of after-tax income
3,-0.9384703699207404,presub,tracker_actual_2026-08-24,level,% of after-tax income
4,-0.8333191675969838,presub,tracker_actual_2026-08-24,level,% of after-tax income
5,-0.8537527248535959,presub,tracker_actual_2026-08-24,level,% of after-tax income
6,-0.8414807470775807,presub,tracker_actual_2026-08-24,level,% of after-tax income
7,-0.8018365096600317,presub,tracker_actual_2026-08-24,level,% of after-tax income
8,-0.7728906696778289,presub,tracker_actual_2026-08-24,level,% of after-tax income
9,-0.7088953413798268,presub,tracker_actual_2026-08-24,level,% of after-tax income
10,-0.4986001721740555,presub,tracker_actual_2026-08-24,level,% of after-tax income
Total,-0.7247873512194468,presub,tracker_actual_2026-08-24,level,% of after-tax income
1,-1.323761780902881,postsub,tracker_actual_2026-08-24,level,% of after-tax income
2,-0.8170129259915806,postsub,tracker_actual_2026-08-24,level,% of after-tax income
3,-0.7885163270340773,postsub,tracker_actual_2026-08-24,level,% of after-tax income
4,-0.7001667717395951,postsub,tracker_actual_2026-08-24,level,% of after-tax income
5,-0.7173353409695271,postsub,tracker_actual_2026-08-24,level,% of after-tax income
6,-0.7070242484177138,postsub,tracker_actual_2026-08-24,level,% of after-tax income
7,-0.6737145889138205,postsub,tracker_actual_2026-08-24,level,% of after-tax income
8,-0.6493938770861148,postsub,tracker_actual_2026-08-24,level,% of after-tax income
9,-0.5956240801546011,postsub,tracker_actual_2026-08-24,level,% of after-tax income
10,-0.4189310488880423,postsub,tracker_actual_2026-08-24,level,% of after-tax income
Total,-0.6089767758065535,postsub,tracker_actual_2026-08-24,level,% of after-tax income
1,-1.5356829726722432,presub,tracker_no_s338_2026-08-24,level,% of after-tax income
2,-0.9478086291648632,presub,tracker_no_s338_2026-08-24,level,% of after-tax income
3,-0.9147500060580236,presub,tracker_no_s338_2026-08-24,level,% of after-tax income
4,-0.8122565592262517,presub,tracker_no_s338_2026-08-24,level,% of after-tax income
5,-0.8321736468865167,presub,tracker_no_s338_2026-08-24,level,% of after-tax income
6,-0.8202118502174307,presub,tracker_no_s338_2026-08-24,level,% of after-tax income
7,-0.7815696430895367,presub,tracker_no_s338_2026-08-24,level,% of after-tax income
8,-0.7533554254139049,presub,tracker_no_s338_2026-08-24,level,% of after-tax income
9,-0.690977614856895,presub,tracker_no_s338_2026-08-24,level,% of after-tax income
10,-0.48599777375525344,presub,tracker_no_s338_2026-08-24,level,% of after-tax income
Total,-0.7064679452530422,presub,tracker_no_s338_2026-08-24,level,% of after-tax income
1,-1.275216259829822,postsub,tracker_no_s338_2026-08-24,level,% of after-tax income
2,-0.7870511014489245,postsub,tracker_no_s338_2026-08-24,level,% of after-tax income
3,-0.7595995411571083,postsub,tracker_no_s338_2026-08-24,level,% of after-tax income
4,-0.6744899760634446,postsub,tracker_no_s338_2026-08-24,level,% of after-tax income
5,-0.691028932661127,postsub,tracker_no_s338_2026-08-24,level,% of after-tax income
6,-0.6810959726162205,postsub,tracker_no_s338_2026-08-24,level,% of after-tax income
7,-0.6490078582579196,postsub,tracker_no_s338_2026-08-24,level,% of after-tax income
