category,value,country_code,substitution
China,0.4374453850319051,chn,Pre-substitution
China,0.4246354817431429,chn,Post-substitution
Canada,0.3497511024396622,ca,Pre-substitution
Canada,0.3731156219345634,ca,Post-substitution
Mexico,0.5969646157123942,mx,Pre-substitution
Mexico,0.6366518504843222,mx,Post-substitution
Rest of World,3.032315013404771,row,Pre-substitution
Rest of World,2.955603541798443,row,Post-substitution
Total,4.416476116588733,total,Pre-substitution
Total,4.390006495960471,total,Post-substitution
