category,value,country_code,substitution
China,3.7991151442827427,chn,Pre-substitution
China,2.2554237090517253,chn,Post-substitution
Canada,1.6554015893085552,ca,Pre-substitution
Canada,2.169472668790239,ca,Post-substitution
Mexico,1.8476637354650143,mx,Pre-substitution
Mexico,2.2232345249533694,mx,Post-substitution
Rest of World,8.489986340474328,row,Pre-substitution
Rest of World,8.266371432758913,row,Post-substitution
Total,15.79216680953064,total,Pre-substitution
Total,14.914502335554246,total,Post-substitution
