Figure 4. Change in Long-Run Real US GDP by Sector from Trump Administration Tariffs,
Percentage points,
Notes: Real value added by sector.,
"Source: GTAP v7, The Budget Lab analysis.",
,
Scenario: Section 122 Expires,
Sector,Value
Agriculture,-1.20
Mining & Extraction,-0.80
Total Manufacturing,0.70
Durable Manufacturing,0.90
Advanced Manufacturing,1.50
Nondurable Manufacturing,0.20
Utilities,0.20
Construction,-2.00
Services,0.00
Overall Real GDP,-0.10
