category,value,substitution,basis
1,,presub,% of after-tax income
2,-1.8844806577780684,presub,% of after-tax income
3,-1.2948698695328058,presub,% of after-tax income
4,-1.0210301208448664,presub,% of after-tax income
5,-0.6497606840867153,presub,% of after-tax income
6,-0.6249747355097182,presub,% of after-tax income
7,-0.4080160361141783,presub,% of after-tax income
8,-0.4060172945739984,presub,% of after-tax income
9,-0.3174887071007381,presub,% of after-tax income
10,-0.39544096047682553,presub,% of after-tax income
1,,presub,2024 dollars
2,-809.9852854438171,presub,2024 dollars
3,-838.8677011454226,presub,2024 dollars
4,-880.8261404371364,presub,2024 dollars
5,-708.1007376502818,presub,2024 dollars
6,-865.4279323839737,presub,2024 dollars
7,-708.5398743315276,presub,2024 dollars
8,-871.6569068647382,presub,2024 dollars
9,-885.7480644614307,presub,2024 dollars
10,-1994.995512968456,presub,2024 dollars
