category,value,substitution,basis
1,,presub,% of after-tax income
2,-2.460002070145155,presub,% of after-tax income
3,-2.2167423641896455,presub,% of after-tax income
4,-1.8299406622139573,presub,% of after-tax income
5,-1.7392930482612494,presub,% of after-tax income
6,-1.597865666537392,presub,% of after-tax income
7,-1.4865059989416654,presub,% of after-tax income
8,-1.3832206773249087,presub,% of after-tax income
9,-1.2989665326976316,presub,% of after-tax income
10,-0.9998034888971793,presub,% of after-tax income
1,,presub,2024 dollars
2,-1057.3552298107827,presub,2024 dollars
3,-1436.0930119953844,presub,2024 dollars
4,-1578.6601568552558,presub,2024 dollars
5,-1895.4589291515713,presub,2024 dollars
6,-2212.6295695632843,presub,2024 dollars
7,-2581.3906328633875,presub,2024 dollars
8,-2969.5628073513876,presub,2024 dollars
9,-3623.9307616444917,presub,2024 dollars
10,-5043.998152834176,presub,2024 dollars
