category,value,dimension,category_code,group
Agriculture,-1.0284892069253,sector,agriculture,Sectors
Mining & Extraction,-1.1954165216059,sector,mining_extraction,Sectors
Total Manufacturing,1.18943872293929,sector,total_manufacturing,Sectors
Durable Manufacturing,2.37378235913681,sector,durable_manufacturing,Manufacturing detail
Advanced Manufacturing,-1.49,sector,advanced_manufacturing,Manufacturing detail
Nondurable Manufacturing,0.424094390804183,sector,nondurable_manufacturing,Manufacturing detail
Utilities,0.218962771341322,sector,utilities,Sectors
Construction,-2.32,sector,construction,Sectors
Services,-0.031180817951174,sector,services,Sectors
Overall Real GDP,-0.131999239325523,sector,overall_real_gdp,Sectors
USA,-0.13,country,usa,Trading partners
China,-0.16,country,china,Trading partners
ROW,0.01,country,row,Trading partners
Canada,-0.21,country,canada,Trading partners
Mexico,-0.04,country,mexico,Trading partners
FTROW,0.03,country,ftrow,Trading partners
Japan,0.0,country,japan,Trading partners
EU,0.03,country,eu,Trading partners
UK,0.05,country,uk,Trading partners
World Total,-0.049497733778836,country,world_total,Trading partners
World ex USA,-0.0241700612131135,country,world_ex_usa,Trading partners
