category,value
USA,-0.35
China,-0.16
ROW,-0.01
Canada,0.54
Mexico,0.29
FTROW,0.01
Japan,-0.04
EU,0
UK,0.09
World Total,-0.0926871681503516
World ex USA,-0.012578425811493599
