category,value
USA,-0.56
China,-0.22
ROW,0.03
Canada,-2.07
Mexico,0.06
FTROW,0.07
Japan,0.01
EU,0.08
UK,0.22
World Total,-0.17271065154798038
World ex USA,-0.052156195585140175
