category,series,value,scenario,measure
2026,conventional,82.06158067010807,tracker_actual_2026-07-24,level
2026,dynamic,68.33158067010807,tracker_actual_2026-07-24,level
2027,conventional,145.15814839102129,tracker_actual_2026-07-24,level
2027,dynamic,137.57214839102127,tracker_actual_2026-07-24,level
2028,conventional,190.8243762705737,tracker_actual_2026-07-24,level
2028,dynamic,183.8543762705737,tracker_actual_2026-07-24,level
2029,conventional,193.9489003733611,tracker_actual_2026-07-24,level
2029,dynamic,183.24090037336111,tracker_actual_2026-07-24,level
2030,conventional,197.22550215731363,tracker_actual_2026-07-24,level
2030,dynamic,184.70750215731363,tracker_actual_2026-07-24,level
2031,conventional,201.4907335000107,tracker_actual_2026-07-24,level
2031,dynamic,188.04173350001068,tracker_actual_2026-07-24,level
2032,conventional,209.4899956494778,tracker_actual_2026-07-24,level
2032,dynamic,195.11199564947785,tracker_actual_2026-07-24,level
2033,conventional,217.62440913753312,tracker_actual_2026-07-24,level
2033,dynamic,202.3004091375331,tracker_actual_2026-07-24,level
2034,conventional,225.94739733819577,tracker_actual_2026-07-24,level
2034,dynamic,209.65339733819573,tracker_actual_2026-07-24,level
2035,conventional,234.16274233904988,tracker_actual_2026-07-24,level
2035,dynamic,216.8327423390499,tracker_actual_2026-07-24,level
Total,conventional,1897.9337858266451,tracker_actual_2026-07-24,level
Total,dynamic,1769.646785826645,tracker_actual_2026-07-24,level
2026,conventional,66.85815910479971,tracker_no_fl_301_2026-07-24,level
2026,dynamic,54.62615910479971,tracker_no_fl_301_2026-07-24,level
2027,conventional,84.19302308646695,tracker_no_fl_301_2026-07-24,level
2027,dynamic,80.94202308646695,tracker_no_fl_301_2026-07-24,level
2028,conventional,128.00596171008934,tracker_no_fl_301_2026-07-24,level
2028,dynamic,125.69896171008934,tracker_no_fl_301_2026-07-24,level
2029,conventional,129.50769868667507,tracker_no_fl_301_2026-07-24,level
2029,dynamic,123.95069868667508,tracker_no_fl_301_2026-07-24,level
2030,conventional,131.0715138334414,tracker_no_fl_301_2026-07-24,level
2030,dynamic,124.3035138334414,tracker_no_fl_301_2026-07-24,level
2031,conventional,133.24734652045095,tracker_no_fl_301_2026-07-24,level
2031,dynamic,125.98734652045094,tracker_no_fl_301_2026-07-24,level
2032,conventional,138.53768714587054,tracker_no_fl_301_2026-07-24,level
2032,dynamic,130.78468714587052,tracker_no_fl_301_2026-07-24,level
2033,conventional,143.9172098583211,tracker_no_fl_301_2026-07-24,level
2033,dynamic,135.6632098583211,tracker_no_fl_301_2026-07-24,level
2034,conventional,149.42166468065625,tracker_no_fl_301_2026-07-24,level
2034,dynamic,140.65366468065625,tracker_no_fl_301_2026-07-24,level
2035,conventional,154.85471594233567,tracker_no_fl_301_2026-07-24,level
2035,dynamic,145.53771594233567,tracker_no_fl_301_2026-07-24,level
Total,conventional,1259.614980569107,tracker_no_fl_301_2026-07-24,level
Total,dynamic,1188.147980569107,tracker_no_fl_301_2026-07-24,level
2026,conventional,83.56095343012814,tracker_no_fl_301_keep_s122_2026-07-24,level
2026,dynamic,69.86295343012813,tracker_no_fl_301_keep_s122_2026-07-24,level
2027,conventional,151.5112611629553,tracker_no_fl_301_keep_s122_2026-07-24,level
2027,dynamic,143.90826116295528,tracker_no_fl_301_keep_s122_2026-07-24,level
2028,conventional,197.4649830644059,tracker_no_fl_301_keep_s122_2026-07-24,level
2028,dynamic,190.7149830644059,tracker_no_fl_301_keep_s122_2026-07-24,level
2029,conventional,200.8591332781795,tracker_no_fl_301_keep_s122_2026-07-24,level
2029,dynamic,190.5891332781795,tracker_no_fl_301_keep_s122_2026-07-24,level
2030,conventional,204.42175689730576,tracker_no_fl_301_keep_s122_2026-07-24,level
2030,dynamic,192.41875689730577,tracker_no_fl_301_keep_s122_2026-07-24,level
2031,conventional,209.02087591271757,tracker_no_fl_301_keep_s122_2026-07-24,level
2031,dynamic,196.12587591271756,tracker_no_fl_301_keep_s122_2026-07-24,level
2032,conventional,217.31945178735867,tracker_no_fl_301_keep_s122_2026-07-24,level
2032,dynamic,203.53745178735863,tracker_no_fl_301_keep_s122_2026-07-24,level
2033,conventional,225.75803747627833,tracker_no_fl_301_keep_s122_2026-07-24,level
2033,dynamic,211.07103747627832,tracker_no_fl_301_keep_s122_2026-07-24,level
2034,conventional,234.39246910991776,tracker_no_fl_301_keep_s122_2026-07-24,level
2034,dynamic,218.77846910991775,tracker_no_fl_301_keep_s122_2026-07-24,level
2035,conventional,242.9150187385871,tracker_no_fl_301_keep_s122_2026-07-24,level
2035,dynamic,226.3100187385871,tracker_no_fl_301_keep_s122_2026-07-24,level
