category,measure,value
Leather products,price,8.342587406504844
Leather products,domestic,1.5139195763298712
Leather products,imported,9.710458270765244
Wearing apparel,price,8.021992672693811
Wearing apparel,domestic,1.667092615817364
Wearing apparel,imported,9.062144475725159
Crops nec,price,7.277500457510416
Crops nec,domestic,1.659968288399341
Crops nec,imported,7.53397624455924
"Wool, silk-worm cocoons",price,5.585472695729972
"Wool, silk-worm cocoons",domestic,5.58191053202096
"Wool, silk-worm cocoons",imported,6.016494504520359
Processed rice,price,5.328996908681147
Processed rice,domestic,4.652185803968969
Processed rice,imported,9.863631310252737
Textiles,price,4.5951911846247855
Textiles,domestic,1.4248654836045846
Textiles,imported,8.659619976606862
Electrical equipment,price,4.242536977432651
Electrical equipment,domestic,1.0722112764124498
Electrical equipment,imported,6.251597309315115
Mineral products nec,price,3.1596392098931663
Mineral products nec,domestic,0.8834165998348424
Mineral products nec,imported,7.355868059108667
Rubber and plastic products,price,3.09552026313096
Rubber and plastic products,domestic,1.2075734973548855
Rubber and plastic products,imported,6.92128408660927
Machinery and equipment nec,price,3.0919580994219484
Machinery and equipment nec,domestic,1.1862005151008166
Machinery and equipment nec,imported,6.433267658474699
Transport equipment nec,price,3.074147280876892
Transport equipment nec,domestic,1.488984430366791
Transport equipment nec,imported,5.94881339404914
Metal products,price,2.5683200341972636
Metal products,domestic,0.7908003434005445
Metal products,imported,7.013900343043568
Fishing,price,2.4222713221277936
Fishing,domestic,1.5994115053461464
Fishing,imported,5.350369890935215
Manufactures nec,price,2.3260929019844845
Manufactures nec,domestic,0.8442327990357165
Manufactures nec,imported,7.469857297797035
"Vegetables, fruit, nuts",price,2.2192279907141406
"Vegetables, fruit, nuts",domestic,1.0757734401214614
"Vegetables, fruit, nuts",imported,4.762612878948325
Wood products,price,1.8558872923949714
Wood products,domestic,1.065086948994427
Wood products,imported,6.6363109898883526
Vegetable oils and fats,price,1.8024548367597995
Vegetable oils and fats,domestic,1.179076187682794
Vegetable oils and fats,imported,5.895380938413969
Food products nec,price,1.759708872251662
Food products nec,domestic,1.09714642237553
Food products nec,imported,6.782359701957822
Chemical products,price,1.7561467085426505
Chemical products,domestic,0.9902815111051863
Chemical products,imported,6.340651402040402
Beverages and tobacco products,price,1.5780385230920775
Beverages and tobacco products,domestic,1.065086948994427
Beverages and tobacco products,imported,6.148294561753784
"Paper products, publishing",price,1.5317303948749283
"Paper products, publishing",domestic,1.0579626215764042
"Paper products, publishing",imported,5.556975386057879
Cereal grains nec,price,1.350060045715344
Cereal grains nec,domestic,1.0579626215764042
Cereal grains nec,imported,5.542726731221834
Sugar,price,1.3144384086252292
Sugar,domestic,1.0864599312484957
Sugar,imported,6.055678305319485
Paddy rice,price,1.2823789352441262
Paddy rice,domestic,0.9867193473961748
Paddy rice,imported,9.632090669166992
