category,value,country_code,substitution
China,2.7470098881686336,chn,Pre-substitution
China,2.4245400422171604,chn,Post-substitution
Canada,0.9997212009496644,ca,Pre-substitution
Canada,1.1828920362994506,ca,Post-substitution
Mexico,1.651800551973195,mx,Pre-substitution
Mexico,2.0592157941393596,mx,Post-substitution
Rest of World,10.059385178723165,row,Pre-substitution
Rest of World,9.276713766408998,row,Post-substitution
Total,15.457916819814658,total,Pre-substitution
Total,14.943361639064968,total,Post-substitution
