vintage_date,scenario,row_label_field,row_label,column,value
2025-10-17,Baseline,Name,"Wool, silk-worm cocoons",Long-Run,5.889615250625175
2025-10-17,Baseline,Name,Minerals nec,Short-Run,0.16386365271903747
2025-10-17,Baseline,Name,Minerals nec,Long-Run,0.3899745242349437
2025-10-17,Baseline,Name,Electricity,Short-Run,0.12071339443089714
2025-10-17,Baseline,Name,Electricity,Long-Run,0.6649565605544553
2025-10-17,Baseline,Name,Plant-based fibers,Short-Run,0.07871512248613263
2025-10-17,Baseline,Name,Plant-based fibers,Long-Run,0.7999477420203973
2025-10-17,Baseline,Name,Natural gas,Short-Run,0.07086278623571944
2025-10-17,Baseline,Name,Natural gas,Long-Run,0.36997583068443374
2025-10-17,Baseline,Name,Construction,Short-Run,0.0587672918065783
2025-10-17,Baseline,Name,Construction,Long-Run,1.169923572704831
2025-10-17,Baseline,Name,Raw milk,Short-Run,0.03820458665565574
2025-10-17,Baseline,Name,Raw milk,Long-Run,1.014933697688379
2025-10-17,Baseline,Name,"Bovine cattle, sheep and goats",Short-Run,0.02935239744551614
2025-10-17,Baseline,Name,"Bovine cattle, sheep and goats",Long-Run,0.7749493750822598
2025-10-17,Baseline,Name,"Sugar cane, sugar beet",Short-Run,0.008213683339964464
2025-10-17,Baseline,Name,"Sugar cane, sugar beet",Long-Run,0.42497223794833605
2025-10-17,Baseline,Name,Wheat,Short-Run,0.006744047286407024
2025-10-17,Baseline,Name,Wheat,Long-Run,0.859943822671927
2025-10-17,Baseline,Name,Water,Short-Run,0.00422560715319996
2025-10-17,Baseline,Name,Water,Long-Run,0.9899353307502416
2025-10-17,Baseline,Name,"Gas manufacture, distribution",Short-Run,0.0003176659113722186
2025-10-17,Baseline,Name,"Gas manufacture, distribution",Long-Run,0.6449578670039453
2025-10-17,Baseline,Name,Coal,Short-Run,0.00019809863663647676
2025-10-17,Baseline,Name,Coal,Long-Run,0.3799751774596887
2025-10-17,Baseline,Name,Air transport,Short-Run,0
2025-10-17,Baseline,Name,Air transport,Long-Run,0.4899679919874933
2025-10-17,Baseline,Name,Accommodation & food services,Short-Run,0
2025-10-17,Baseline,Name,Accommodation & food services,Long-Run,0.724952641205985
2025-10-17,Baseline,Name,Communication,Short-Run,0
2025-10-17,Baseline,Name,Communication,Long-Run,0.764950028307005
2025-10-17,Baseline,Name,Water transport,Short-Run,0
2025-10-17,Baseline,Name,Water transport,Long-Run,0.704953947655475
2025-10-17,Baseline,Name,Financial services nec,Short-Run,0
2025-10-17,Baseline,Name,Financial services nec,Long-Run,0.6049604799029255
2025-10-17,Baseline,Name,Insurance,Short-Run,0
2025-10-17,Baseline,Name,Insurance,Long-Run,0.5599634194142782
2025-10-17,Baseline,Name,Business services nec,Short-Run,0
