time,series,value
2025-09-02,15-26 Weeks,19.4613
2025-09-02,27+ Weeks,21.3854
2025-09-02,5-14 Weeks,15.5228
2025-10-02,<5 Weeks,
2025-10-02,15-26 Weeks,
2025-10-02,27+ Weeks,
2025-10-02,5-14 Weeks,
2025-11-02,<5 Weeks,15.3961
2025-11-02,15-26 Weeks,18.5286
2025-11-02,27+ Weeks,22.9888
2025-11-02,5-14 Weeks,17.8598
2025-12-02,<5 Weeks,13.9497
2025-12-02,15-26 Weeks,16.0522
2025-12-02,27+ Weeks,21.0473
2025-12-02,5-14 Weeks,19.321
2026-01-02,<5 Weeks,12.9803
2026-01-02,15-26 Weeks,15.9664
2026-01-02,27+ Weeks,18.9832
2026-01-02,5-14 Weeks,17.768
2026-02-02,<5 Weeks,13.6137
2026-02-02,15-26 Weeks,16.7778
2026-02-02,27+ Weeks,17.1557
2026-02-02,5-14 Weeks,15.7992
2026-03-02,<5 Weeks,12.698
2026-03-02,15-26 Weeks,16.0671
2026-03-02,27+ Weeks,17.0415
2026-03-02,5-14 Weeks,14.9136
2026-04-02,<5 Weeks,13.6269
2026-04-02,15-26 Weeks,15.2018
2026-04-02,27+ Weeks,19.0134
2026-04-02,5-14 Weeks,15.8188
2026-05-02,<5 Weeks,13.0583
2026-05-02,15-26 Weeks,16.2957
2026-05-02,27+ Weeks,19.0289
2026-05-02,5-14 Weeks,15.6272
