category,series,value,scenario,measure
2026,conventional,73.55323193919912,tracker_actual_2026-07-21,level
2026,dynamic,59.02523193919912,tracker_actual_2026-07-21,level
2027,conventional,84.84369507902963,tracker_actual_2026-07-21,level
2027,dynamic,85.26269507902963,tracker_actual_2026-07-21,level
2028,conventional,128.83527688368412,tracker_actual_2026-07-21,level
2028,dynamic,132.00427688368413,tracker_actual_2026-07-21,level
2029,conventional,130.5158802974684,tracker_actual_2026-07-21,level
2029,dynamic,127.50288029746838,tracker_actual_2026-07-21,level
2030,conventional,132.27058585800327,tracker_actual_2026-07-21,level
2030,dynamic,126.44858585800328,tracker_actual_2026-07-21,level
2031,conventional,134.6554938291694,tracker_actual_2026-07-21,level
2031,dynamic,127.8874938291694,tracker_actual_2026-07-21,level
2032,conventional,140.00204271011523,tracker_actual_2026-07-21,level
2032,dynamic,132.66804271011523,tracker_actual_2026-07-21,level
2033,conventional,145.43855740427966,tracker_actual_2026-07-21,level
2033,dynamic,137.60955740427966,tracker_actual_2026-07-21,level
2034,conventional,151.00150910216826,tracker_actual_2026-07-21,level
2034,dynamic,142.66750910216825,tracker_actual_2026-07-21,level
2035,conventional,156.49212450056842,tracker_actual_2026-07-21,level
2035,dynamic,147.6201245005684,tracker_actual_2026-07-21,level
Total,conventional,1277.6083976036855,tracker_actual_2026-07-21,level
Total,dynamic,1218.6963976036855,tracker_actual_2026-07-21,level
2026,conventional,71.90113766302414,tracker_no_s338_2026-07-21,level
2026,dynamic,57.431137663024145,tracker_no_s338_2026-07-21,level
2027,conventional,79.59836223903459,tracker_no_s338_2026-07-21,level
2027,dynamic,80.32536223903459,tracker_no_s338_2026-07-21,level
2028,conventional,123.4122277907332,tracker_no_s338_2026-07-21,level
2028,dynamic,126.7662277907332,tracker_no_s338_2026-07-21,level
2029,conventional,124.93440194146304,tracker_no_s338_2026-07-21,level
2029,dynamic,121.93740194146304,tracker_no_s338_2026-07-21,level
2030,conventional,126.52327760656138,tracker_no_s338_2026-07-21,level
2030,dynamic,120.71027760656138,tracker_no_s338_2026-07-21,level
2031,conventional,128.70610686210773,tracker_no_s338_2026-07-21,level
2031,dynamic,121.96310686210774,tracker_no_s338_2026-07-21,level
2032,conventional,133.8190669291612,tracker_no_s338_2026-07-21,level
2032,dynamic,126.5130669291612,tracker_no_s338_2026-07-21,level
2033,conventional,139.016625860069,tracker_no_s338_2026-07-21,level
2033,dynamic,131.216625860069,tracker_no_s338_2026-07-21,level
2034,conventional,144.33665450678097,tracker_no_s338_2026-07-21,level
2034,dynamic,136.03265450678094,tracker_no_s338_2026-07-21,level
2035,conventional,149.58598058260338,tracker_no_s338_2026-07-21,level
2035,dynamic,140.74598058260338,tracker_no_s338_2026-07-21,level
Total,conventional,1221.8338419815386,tracker_no_s338_2026-07-21,level
Total,dynamic,1163.6418419815386,tracker_no_s338_2026-07-21,level
2026,conventional,91.12371830539551,tracker_new_301_2026-07-21,level
2026,dynamic,75.73771830539553,tracker_new_301_2026-07-21,level
2027,conventional,153.4329672767228,tracker_new_301_2026-07-21,level
2027,dynamic,148.99096727672278,tracker_new_301_2026-07-21,level
2028,conventional,199.54947379025523,tracker_new_301_2026-07-21,level
2028,dynamic,198.6894737902552,tracker_new_301_2026-07-21,level
2029,conventional,203.09803492084717,tracker_new_301_2026-07-21,level
2029,dynamic,197.23903492084716,tracker_new_301_2026-07-21,level
2030,conventional,206.8241072610953,tracker_new_301_2026-07-21,level
2030,dynamic,196.7811072610953,tracker_new_301_2026-07-21,level
2031,conventional,211.60878334094076,tracker_new_301_2026-07-21,level
2031,dynamic,199.12078334094076,tracker_new_301_2026-07-21,level
2032,conventional,220.00889434532723,tracker_new_301_2026-07-21,level
2032,dynamic,206.29589434532724,tracker_new_301_2026-07-21,level
2033,conventional,228.55138831260564,tracker_new_301_2026-07-21,level
2033,dynamic,213.90338831260564,tracker_new_301_2026-07-21,level
2034,conventional,237.2914090585043,tracker_new_301_2026-07-21,level
2034,dynamic,221.6894090585043,tracker_new_301_2026-07-21,level
2035,conventional,245.91888046116068,tracker_new_301_2026-07-21,level
2035,dynamic,229.29988046116068,tracker_new_301_2026-07-21,level
Total,conventional,1997.4076570728546,tracker_new_301_2026-07-21,level
Total,dynamic,1887.7476570728545,tracker_new_301_2026-07-21,level
2026,conventional,-1.652094276174978,tracker_no_s338_2026-07-21,delta_vs_default
2026,dynamic,-1.594094276174971,tracker_no_s338_2026-07-21,delta_vs_default
2027,conventional,-5.245332839995044,tracker_no_s338_2026-07-21,delta_vs_default
2027,dynamic,-4.937332839995037,tracker_no_s338_2026-07-21,delta_vs_default
2028,conventional,-5.423049092950919,tracker_no_s338_2026-07-21,delta_vs_default
2028,dynamic,-5.238049092950931,tracker_no_s338_2026-07-21,delta_vs_default
2029,conventional,-5.581478356005377,tracker_no_s338_2026-07-21,delta_vs_default
2029,dynamic,-5.565478356005343,tracker_no_s338_2026-07-21,delta_vs_default
2030,conventional,-5.747308251441893,tracker_no_s338_2026-07-21,delta_vs_default
2030,dynamic,-5.738308251441907,tracker_no_s338_2026-07-21,delta_vs_default
2031,conventional,-5.949386967061656,tracker_no_s338_2026-07-21,delta_vs_default
2031,dynamic,-5.924386967061665,tracker_no_s338_2026-07-21,delta_vs_default
