category,series,value
2026,conventional,64.3831068510714
2026,dynamic,52.5241068510714
2027,conventional,70.10807833179376
2027,dynamic,67.53807833179377
2028,conventional,113.2753735752962
2028,dynamic,111.25837357529622
2029,conventional,114.16412995862608
2029,dynamic,108.7691299586261
2030,conventional,115.08028125756908
2030,dynamic,108.49628125756908
2031,conventional,116.4973698059105
2031,dynamic,109.4353698059105
2032,conventional,121.12622857761276
2032,dynamic,113.58322857761274
2033,conventional,125.83118507511172
2033,dynamic,117.79918507511174
2034,conventional,130.64754806964575
2034,dynamic,122.11454806964576
2035,conventional,135.3993806228527
2035,dynamic,126.3303806228527
Total,conventional,1106.5126821254898
Total,dynamic,1037.84868212549
