category,series,value
2025,conventional,111
2026,conventional,227.60891601888872
2027,conventional,220.13223185605278
2028,conventional,228.43871790934386
2029,conventional,236.0271513798273
2030,conventional,244.0783941417146
2031,conventional,253.61462342022003
2032,conventional,263.7162409305304
2033,conventional,273.9705227918434
2034,conventional,284.4824560637581
2035,conventional,294.8393168654723
2025,dynamic,102.664
2026,dynamic,183.46691601888872
2027,dynamic,162.7352318560528
2028,dynamic,178.07271790934385
2029,dynamic,194.5691513798273
2030,dynamic,204.16539414171461
2031,dynamic,211.58062342022004
2032,dynamic,218.9392409305304
2033,dynamic,226.3565227918434
2034,dynamic,233.9964560637581
2035,dynamic,241.25631686547231
2025,difference,-8.336
2026,difference,-44.142
2027,difference,-57.397
2028,difference,-50.366
2029,difference,-41.458
2030,difference,-39.913
2031,difference,-42.034
2032,difference,-44.777
2033,difference,-47.614
2034,difference,-50.486
2035,difference,-53.583
2026-35,conventional,2526.9085713776517
2026-35,dynamic,2055.1385713776513
2026-35,difference,-471.77
2025-34,conventional,2343.0692545121788
2025-34,dynamic,1916.5462545121793
2025-34,difference,-426.5229999999999
