category,series,value,unit,metric
Tariff rate,"Effective rate, pre-substitution",17.9,pct,etr_presub_level
Tariff rate,"Effective rate, post-substitution",17.361361639064967,pct,etr_postsub_level
Consumer price increase,Pre-substitution,1.326926556924229,pct,price_presub
Consumer price increase,Post-substitution,1.156970567284998,pct,price_postsub
Household cost,Pre-substitution,-1800.0,usd,hh_cost_presub
Household cost,Post-substitution,-1600.0,usd,hh_cost_postsub
Real GDP,"Q4-Q4 growth (p.p.), 2025",-0.5209792635695099,pp,gdp_growth_2025
Real GDP,"Q4-Q4 growth (p.p.), 2026",-0.4568506704919928,pp,gdp_growth_2026
Real GDP,Long-run,-0.35,pct,gdp_longrun
Labor market,"Unemployment rate (p.p.), end of 2026",0.6747860908508301,pp,unemployment_2026
Revenue (10-year),Conventional,2600.0,usd_bn,revenue_conventional
Revenue (10-year),Dynamic,2200.0,usd_bn,revenue_dynamic
