category,series,value,unit,metric
Tariff rate,"Additional effective rate, post-substitution (p.p.)",4.390006495960471,pp,etr_addl_postsub
Consumer price increase,Pre-substitution,0.49971739484612077,pct,price_presub
Household cost,Pre-substitution (2025$),-663.0662605719133,usd,hh_cost_presub
Real GDP,"Q4-Q4 growth (p.p.), 2025",-0.5116854244835878,pp,gdp_growth_2025
Real GDP,"Q4-Q4 growth (p.p.), 2026",-0.2848856276018052,pp,gdp_growth_2026
Real GDP,Long-run,-0.09,pct,gdp_longrun
Labor market,"Unemployment rate (p.p.), end of 2025",0.2832159996032715,pp,unemployment_2025
Labor market,"Change in payroll employment, 2025 Q4 (thousands)",-477.447509765625,thousands,payroll_employment_2025
Revenue (10-year),Conventional,704.3881374164929,usd_bn,revenue_conventional
Revenue (10-year),Add'l 2026-35 Dynamic Revenue Effects ($bn),-211.19,usd_bn,revenue_dynamic
Revenue (10-year),"Conventional, % of GDP",0.1887609452988159,pct,revenue_pct_gdp
