category,measure,value
Leather products,price,18.297204949862895
Leather products,domestic,2.79610446520913
Leather products,imported,21.78448130534844
Wearing apparel,price,16.946278073413534
Wearing apparel,domestic,3.041156317216222
Wearing apparel,imported,19.41564673594654
Crops nec,price,13.314483959052016
Crops nec,domestic,2.356267807760503
Crops nec,imported,13.82972118634898
Metals nec,price,12.296576266099478
Metals nec,domestic,4.612001522389891
Metals nec,imported,18.56739032515276
"Wool, silk-worm cocoons",price,10.939366008829428
"Wool, silk-worm cocoons",domestic,10.933082628008732
"Wool, silk-worm cocoons",imported,11.45460323612639
Processed rice,price,10.273327641835792
Processed rice,domestic,9.0857686667245
Processed rice,imported,18.171537333449
Electrical equipment,price,9.984292124083838
Electrical equipment,domestic,3.034872936395528
Electrical equipment,imported,14.703111120425536
Textiles,price,9.550738847455904
Textiles,domestic,2.601319659767595
Textiles,imported,19.302545881174037
Motor vehicles and parts,price,8.394596776448084
Motor vehicles and parts,domestic,3.983663440320423
Motor vehicles and parts,imported,15.444550057267508
Machinery and equipment nec,price,6.64153352747427
Machinery and equipment nec,domestic,3.009739413112749
Machinery and equipment nec,imported,13.132265915251867
Ferrous metals,price,6.509582530239682
Ferrous metals,domestic,2.79610446520913
Ferrous metals,imported,17.79453448420732
Rubber and plastic products,price,6.427898579570652
Rubber and plastic products,domestic,2.1740497639603573
Rubber and plastic products,imported,15.670751766812517
Mineral products nec,price,6.352498009722315
Mineral products nec,domestic,1.5457116818908898
Mineral products nec,imported,15.651901624350435
Transport equipment nec,price,6.0446123495082755
Transport equipment nec,domestic,3.0914233637817796
Transport equipment nec,imported,11.460886616947084
Metal products,price,5.830977401604657
Metal products,domestic,2.4505185200709225
Metal products,imported,14.439209125956362
Manufactures nec,price,4.756519281265868
Manufactures nec,domestic,1.6965128215875622
Manufactures nec,imported,16.079171520157672
"Computer, electronic and optical",price,4.480050525155303
"Computer, electronic and optical",domestic,1.4011939230149124
"Computer, electronic and optical",imported,5.0518381798385175
Fishing,price,4.0213637252445915
Fishing,domestic,2.230600191346609
Fishing,imported,10.461829066456632
"Vegetables, fruit, nuts",price,3.9522465362169497
"Vegetables, fruit, nuts",domestic,1.288093068242408
"Vegetables, fruit, nuts",imported,10.065976074752868
Wood products,price,3.3176250733267882
Wood products,domestic,1.8598807229256236
Wood products,imported,12.25887598117531
Chemical products,price,3.1165568870645584
Chemical products,domestic,1.7279297256910355
Chemical products,imported,11.473453378588475
Beverages and tobacco products,price,3.1165568870645584
Beverages and tobacco products,domestic,2.1174993365741055
Beverages and tobacco products,imported,12.057807794913082
Food products nec,price,3.1165568870645584
Food products nec,domestic,1.7844801530772874
Food products nec,imported,13.421301433003824
Vegetable oils and fats,price,2.802387846029825
Vegetable oils and fats,domestic,1.6902294407668672
Vegetable oils and fats,imported,10.116243121318426
"Paper products, publishing",price,2.7709709419263513
"Paper products, publishing",domestic,1.8347471996428448
"Paper products, publishing",imported,10.857682058160398
Sugar,price,2.21803342970522
Sugar,domestic,1.7656300106152034
Sugar,imported,11.793905800443902
Natural gas,price,2.199183287243136
Natural gas,domestic,0.9173735998214224
Natural gas,imported,2.507068947457175
Cereal grains nec,price,1.9289979119532648
Cereal grains nec,domestic,1.4954446353253323
Cereal grains nec,imported,8.030160688847793
Paddy rice,price,1.8850142462084023
Paddy rice,domestic,1.3195099723458816
Paddy rice,imported,18.598807229256238
Dairy products,price,1.7844801530772874
Dairy products,domestic,1.5896953476357523
Dairy products,imported,13.10713239196909
Animal products nec,price,1.7279297256910355
Animal products nec,domestic,1.137291928545736
Animal products nec,imported,13.490418622031465
Bovine meat products,price,1.7090795832289514
Bovine meat products,domestic,1.363493638090744
Bovine meat products,imported,9.978008743263143
Raw milk,price,1.5457116818908898
Raw milk,domestic,1.5331449202495004
Raw milk,imported,16.8708775035652
Construction,price,1.5142947777874165
Construction,domestic,1.489161254504638
Construction,imported,13.71033695075578
Forestry,price,1.4577443504011642
Forestry,domestic,1.3320767339872708
Forestry,imported,2.98460588982997
Meat products nec,price,1.4137606846563016
Meat products nec,domestic,1.2755263066010187
Meat products nec,imported,7.357838941033464
Plant-based fibers,price,1.3320767339872708
Plant-based fibers,domestic,1.3006598298837975
Plant-based fibers,imported,17.68143362943481
"Bovine cattle, sheep and goats",price,1.3132265915251866
"Bovine cattle, sheep and goats",domestic,1.2755263066010187
"Bovine cattle, sheep and goats",imported,7.747408551916533
Water,price,1.2692429257803242
Water,domestic,1.2692429257803242
Water,imported,14.363808556108026
Wheat,price,1.2629595449596294
Wheat,domestic,1.2315426408561563
Wheat,imported,5.183789177073106
Warehousing and support,price,1.1875589751112934
Warehousing and support,domestic,1.193842355931988
Warehousing and support,imported,-0.6346214628901621
Oil seeds,price,1.143575309366431
Oil seeds,domestic,1.0179076929525372
Oil seeds,imported,9.81464084192508
Basic pharmaceutical products,price,1.0179076929525372
Basic pharmaceutical products,domestic,1.0241910737732318
Basic pharmaceutical products,imported,1.0116243121318425
Human health and social work,price,1.0179076929525372
Human health and social work,domestic,1.0179076929525372
Human health and social work,imported,-0.28275213693126033
Public Administration,price,0.9864907888490639
Public Administration,domestic,0.9927741696697586
Public Administration,imported,0.30788566021403907
Transport nec,price,0.9676406463869799
Transport nec,domestic,0.9739240272076745
Transport nec,imported,0.012566761641389349
Water transport,price,0.9487905039248957
Water transport,domestic,0.9613572655662852
Water transport,imported,-0.2576186136484816
Recreational and other services,price,0.9425071231042011
Recreational and other services,domestic,0.9425071231042011
Recreational and other services,imported,-0.5906377971452994
Communication,price,0.9362237422835065
Communication,domestic,0.9864907888490639
Communication,imported,-0.36443608760029106
Trade,price,0.9173735998214224
Trade,domestic,0.923656980642117
Trade,imported,-1.0430412162353158
Accommodation & food services,price,0.9173735998214224
Accommodation & food services,domestic,1.0053409313111479
Accommodation & food services,imported,-0.06911718902764141
Business services nec,price,0.9110902190007277
Business services nec,domestic,0.9173735998214224
Business services nec,imported,-0.21991832872431358
Minerals nec,price,0.8608231724351704
Minerals nec,domestic,0.5278039889383526
Minerals nec,imported,3.2673580267612308
"Sugar cane, sugar beet",price,0.8608231724351704
"Sugar cane, sugar beet",domestic,0.8545397916144757
"Sugar cane, sugar beet",imported,15.312599060032921
"Gas manufacture, distribution",price,0.8482564107937811
"Gas manufacture, distribution",domestic,0.8482564107937811
"Gas manufacture, distribution",imported,0.596921177965994
Electricity,price,0.8356896491523916
