category,value,country_code,substitution
China,3.7991151442827427,chn,Pre-substitution
China,2.420396386048756,chn,Post-substitution
Canada,1.7794753271977612,ca,Pre-substitution
Canada,2.387306961328871,ca,Post-substitution
Mexico,1.868616619053228,mx,Pre-substitution
Mexico,2.3182015469055814,mx,Post-substitution
Rest of World,10.373282218542792,row,Pre-substitution
Rest of World,9.82210758736058,row,Post-substitution
Total,17.820489309076525,total,Pre-substitution
Total,16.94801248164379,total,Post-substitution
