time,series,variant,value
2023-03-02,Augmented,missing-as-zero,0.0
2023-04-02,Augmented,missing-as-zero,0.0
2023-05-02,Augmented,missing-as-zero,0.0
2023-06-02,Augmented,missing-as-zero,0.0
2023-07-02,Augmented,missing-as-zero,0.0
2023-08-02,Augmented,missing-as-zero,0.0
2023-09-02,Augmented,missing-as-zero,0.0
2023-10-02,Augmented,missing-as-zero,0.0
2023-11-02,Augmented,missing-as-zero,0.0
2023-12-02,Augmented,missing-as-zero,0.0
2024-01-02,Augmented,missing-as-zero,0.0
2024-02-02,Augmented,missing-as-zero,0.0
2024-03-02,Augmented,missing-as-zero,0.0
2024-04-02,Augmented,missing-as-zero,0.0
2024-05-02,Augmented,missing-as-zero,0.0
2024-06-02,Augmented,missing-as-zero,0.0
2024-07-02,Augmented,missing-as-zero,0.0
2024-08-02,Augmented,missing-as-zero,0.0
2024-09-02,Augmented,missing-as-zero,0.0
2024-10-02,Augmented,missing-as-zero,0.0
2024-11-02,Augmented,missing-as-zero,0.0
2024-12-02,Augmented,missing-as-zero,0.0
2025-01-02,Augmented,missing-as-zero,0.0
2025-02-02,Augmented,missing-as-zero,0.0
2025-03-02,Augmented,missing-as-zero,0.0
2025-04-02,Augmented,missing-as-zero,0.0
2025-05-02,Augmented,missing-as-zero,0.0
2025-06-02,Augmented,missing-as-zero,0.0
2025-07-02,Augmented,missing-as-zero,0.0
2025-08-02,Augmented,missing-as-zero,0.0
2025-09-02,Augmented,missing-as-zero,0.0
2025-10-02,Augmented,missing-as-zero,
2025-11-02,Augmented,missing-as-zero,0.0
2025-12-02,Augmented,missing-as-zero,0.0
2026-01-02,Augmented,missing-as-zero,0.0
2026-02-02,Augmented,missing-as-zero,0.0
2026-03-02,Augmented,missing-as-zero,0.0
2026-04-02,Augmented,missing-as-zero,0.0
2026-05-02,Augmented,missing-as-zero,0.0
