category,series,value,unit,metric
Tariff rate,"Effective rate, pre-substitution",9.267761520740645,pct,etr_presub_level
Tariff rate,"Effective rate, post-substitution",8.03397448385099,pct,etr_postsub_level
Consumer price increase,Pre-substitution,0.5879919381386239,pct,price_presub
Consumer price increase,Post-substitution,0.46202863339721895,pct,price_postsub
Household cost,Pre-substitution,-791.6065982321486,usd,hh_cost_presub
Household cost,Post-substitution,-622.0236895207117,usd,hh_cost_postsub
Real GDP,"Q4-Q4 growth (p.p.), 2025",-0.49753813609727526,pp,gdp_growth_2025
Real GDP,"Q4-Q4 growth (p.p.), 2026",0.09988449027134028,pp,gdp_growth_2026
Real GDP,Long-run,-0.1,pct,gdp_longrun
Revenue (10-year),Conventional,1375.9049819481545,usd_bn,revenue_conventional
Revenue (10-year),Dynamic,1162.8799819481544,usd_bn,revenue_dynamic
Labor market,"Unemployment rate (p.p.), end of 2026",0.341036319732666,pp,unemployment_2026
