cps_code,AIOE,dv_rating_beta,human_rating_beta,genaiexp_estz_total,genaiexp_estz_core,ai_applicability_score,augmentation,automation,total,total_fm,employment_count,pca
0010,1.3342459999999996,0.5077777777777778,0.36944444444444424,0.47939067999999974,0.4229390599999998,0.155502898114603,2.65535378928439,2.844646210715609,5.5,12.0,211850.0,1.8448222292351302
0020,0.5748773,0.4807692307692308,0.3846153846153846,0.29411766,0.11764706,0.1210284326840145,0.5757587691661414,1.9242412308338586,2.5,3.0,3584420.0,0.4662445007787432
0030,,0.4,0.5166666666666666,0.0,0.0,0.2689786690737696,0.8389984431759212,1.1610015568240788,2.0,3.0,26510.0,
0040,1.2943870000000002,0.4767441860465116,0.5465116279069767,0.36666667,0.30000001,0.1954088804120378,3.90200000645212,7.09799999354788,11.0,14.0,21100.0,1.837641842898968
0051,1.3150319999999998,0.5,0.578125,0.4499999899999999,0.3000000099999999,0.189169815798872,2.832288146597442,4.167711853402558,7.0,9.0,384980.0,2.077543252344637
0052,1.2662800000000003,0.45,0.4833333333333333,0.29411766,0.23529411999999997,0.1641752821433747,0.28713117667970134,2.2128688233202984,2.5,5.0,603710.0,1.2804020951518367
0060,0.0,0.5540847937688086,0.5504912373871482,0.0,0.0,0.20490689727518477,3.9461761821300776,4.053823817869922,8.0,9.0,112980.0,0.2634058498042897
0101,0.7398277999999999,0.3913043478260869,0.5,0.4205848899999999,0.4205848899999999,0.08705142014997098,0.0,0.5,0.5,1.0,254140.0,1.298467522332457
0102,0.0,0.4001623376623376,0.4042207792207792,0.0,0.0,0.0627231309357976,2.1149570217374642,8.385042978262536,10.5,14.0,141090.0,-0.8343182271349655
0110,1.0598530000000002,0.5303030303030303,0.5606060606060607,0.5588235300000001,0.5294117900000002,0.1518935143886481,2.1395146418749165,5.860485358125084,8.0,10.0,645970.0,2.5018150951580074
0120,1.4457723604047452,0.4850552306692657,0.45413069711315324,0.4355397433113182,0.2298331315070372,0.1488033543322555,5.708320293870369,15.791679706129631,21.5,28.5,818620.0,1.5406859819485772
0135,1.2982349999999998,0.513157894736842,0.4605263157894737,0.4166666599999999,0.2708333399999999,0.1413063122763342,4.009322247417486,3.4906777525825143,7.5,8.5,20070.0,1.566716627434214
0136,1.3204170000000002,0.48,0.45,0.3846153900000001,0.3846153900000001,0.1370417874755325,1.2245860888326063,4.275413911167393,5.5,8.5,215520.0,1.64495261829971
0137,1.284423,0.5,0.4772727272727273,0.5,0.41666666,0.1929281337086295,1.11242394444103,2.88757605555897,4.0,4.0,44960.0,2.1889364735975163
0140,0.5086877999999999,0.4057187015028995,0.3296039063138119,0.2267624399999999,0.1952962599999999,0.12205897508380602,0.5454545454545455,0.9545454545454544,1.5,4.5,234380.0,0.22513847335953252
0150,1.423426,0.5857142857142857,0.4714285714285715,0.41666666,0.41666666,0.1054953784861409,0.9956140694995257,5.004385930500474,6.0,6.0,81240.0,1.9342158635925628
0160,0.888989796686153,0.486525974025974,0.4729707792207792,0.4241400295910875,0.3908741190872963,0.20626203396509368,1.940066801193495,11.559933198806505,13.5,20.0,213000.0,1.8577323643487174
0205,-0.1443683306509944,0.3673469387755101,0.2448979591836734,0.0833332959698827,0.0833332959698827,0.0961190479821949,3.1780753075307535,0.8219246924692469,4.0,7.0,5910.0,-0.851452988260471
0220,1.029139,0.4444444444444445,0.4,0.18000001,0.14,0.1450059596749093,2.2654088050314463,3.2345911949685533,5.5,6.5,348330.0,0.546380444970679
0230,1.051570737278583,0.4310391820464069,0.46879789192153065,0.3281721770003221,0.2373419394090177,0.12419482733317917,2.716649334587939,3.3421831935924153,6.058832528180354,9.541135265700483,621000.0,1.047373908501825
0300,0.8370104999999999,0.44261083743842367,0.3307881773399014,0.5119047799999998,0.3471177799999999,0.1719918890553441,4.305100001029347,2.694899998970654,7.0,8.0,210340.0,1.4073449172366106
0310,-0.1213112,0.4166666666666666,0.3958333333333333,0.19642857,0.14285715,0.10019100938754089,0.48387096774193544,2.516129032258065,3.0,4.5,244230.0,-0.1111823571739887
0325,0.3719018,0.42857142857142855,0.5357142857142857,0.27272728,0.25,0.1661957666237465,0.29020112327821523,2.209798876721785,2.5,4.5,13120.0,0.9807123184764723
0335,0.09279365038722166,0.3776052047149934,0.39386282102385967,0.01176950143272022,0.01176950143272022,0.2644844373577858,0.0,2.0,2.0,3.0,41320.0,-0.09140289773807579
0340,0.40217260000000005,0.45652173913043476,0.3804347826086956,0.22916666999999996,0.20833333000000004,0.20840197509268943,0.7346533739499678,3.2653466260500323,4.0,6.5,41350.0,0.7205246055710497
0350,1.2602589999999998,0.4285714285714285,0.3714285714285714,0.3055555499999999,0.2777777899999999,0.1632890896536951,0.9945293915336333,2.505470608466367,3.5,5.5,565840.0,1.1090774239267027
0360,1.327906,0.5306967984934087,0.48653254329153467,0.4307359499999999,0.4025974,0.1175215751035497,3.204677611198396,6.795322388801604,10.0,16.5,100870.0,1.8634479106598987
0400,0.8233757000000003,0.5238095238095237,0.4523809523809522,0.4230769300000001,0.23076923,0.109145181347645,0.0,1.0,1.0,1.0,13810.0,1.1925287537843519
0410,1.2153959999999997,0.4431818181818181,0.4318181818181818,0.3518518499999999,0.2037036999999999,0.1393378763368064,1.710963443440976,5.789036556559024,7.5,10.0,296640.0,1.09083908462616
0420,1.156153,0.3928571428571428,0.4464285714285714,0.375,0.25,0.1558151951411868,1.0263648183808158,1.973635181619184,3.0,3.0,195490.0,1.1933466076367145
0425,1.0307679999999997,0.4222222222222222,0.6,0.5217391299999999,0.5217391299999999,0.200344931661985,0.0,0.0,0.0,1.0,12570.0,2.4628952303492397
0426,0.9554810100936545,0.4521221532091096,0.3253105590062111,0.41703554561407163,0.3938764070739389,0.152001606725124,2.7973378808196783,5.202662119180322,8.0,11.0,10490.0,1.3167679549753284
0440,0.9645109163442422,0.4912673640410586,0.4654910240471341,0.4209767980725465,0.3975987908708156,0.145778869882199,4.902652397789549,15.597347602210451,20.5,31.5,630980.0,1.672651929474097
0500,1.0685590000000005,0.5434782608695652,0.36956521739130427,0.5357142700000002,0.4285714300000001,0.2688759857688543,1.7461788907828155,2.2538211092171845,4.0,4.0,14220.0,2.3197419239108843
0510,,,,,,,,,,,0.0,
0520,,,,,,,,,,,0.0,
0530,,,,,,,,,,,0.0,
0540,1.2588191877476276,0.5195019340813912,0.49024903295930433,0.4946633284920007,0.3937913133679005,0.20866463191026527,0.5899123999728201,8.673506288688028,9.263418688660849,9.288321984591285,312810.0,2.2436204056773867
0565,0.6979597995152186,0.5263042749310427,0.5265367802901109,0.391452540721628,0.2604100723564527,0.2003403916846452,6.488415163627702,12.011584836372297,18.5,20.5,397770.0,1.6284028867732778
0600,1.3676690000000002,0.5,0.4807692307692308,0.42857143000000003,0.39285713,0.2547360531717686,1.6,1.4000000000000004,3.0,4.0,219530.0,2.2803896440034377
0630,1.3576429432597765,0.6378399828408068,0.5790779902124779,0.4517858939738004,0.3561237306308654,0.1918981970063904,5.7201078503665155,6.924874584336402,12.644982434702918,13.309408889567742,982460.0,2.4777066483467727
0640,1.4409849999999997,0.4736842105263157,0.4736842105263157,0.60416669,0.375,0.1671532331445428,0.5591026775620077,2.9408973224379924,3.5,6.5,102370.0,2.20397754344856
0650,1.1984090000000005,0.5526315789473684,0.5921052631578947,0.4749999900000001,0.4499999900000001,0.241747642458221,1.4127587843141847,2.587241215685815,4.0,5.0,436610.0,2.6845591932890485
0700,1.297303,0.5278605318327264,0.5965664590292197,0.4671391199999999,0.4128380399999999,0.1623173857191718,4.061372505165703,11.938627494834298,16.0,25.0,235640.0,2.315752505712456
0705,0.0,0.55,0.4,0.0,0.0,0.1823980418808031,,,,,1006160.0,-0.13340868468236564
0710,1.4324170000000005,0.4047619047619047,0.5,0.4545454700000001,0.4545454700000001,0.3528923037864668,0.9002418964683118,2.0997581035316886,3.0,4.5,893900.0,2.687778630150531
0725,0.3740206999999999,0.4864864864864865,0.3648648648648649,0.4523809599999999,0.3809523899999999,0.1465079327379848,1.8647665760278016,4.135233423972198,6.0,6.0,134670.0,1.2407625188018645
0726,1.2425670000000004,0.5192307692307693,0.4903846153846154,0.3750000000000001,0.3392857000000001,0.1251943302659937,5.601548273339031,5.398451726660969,11.0,13.0,105930.0,1.6205239958347408
