category,series,value,unit,metric
Tariff rate,"Additional effective rate, post-substitution (p.p.)",14.250113445163251,pp,etr_addl_postsub
Consumer price increase,Pre-substitution,1.7468100913451448,pct,price_presub
Household cost,Pre-substitution (2025$),-2367.01,usd,hh_cost_presub
Real GDP,"Q4-Q4 growth (p.p.), 2025",-0.5180502961000144,pp,gdp_growth_2025
Real GDP,"Q4-Q4 growth (p.p.), 2026",-0.44434059831632844,pp,gdp_growth_2026
Real GDP,Long-run,-0.42,pct,gdp_longrun
Labor market,"Unemployment rate (p.p.), end of 2025",0.28916358947753906,pp,unemployment_2025
Labor market,"Change in payroll employment, 2025 Q4 (thousands)",-488.7237548828125,thousands,payroll_employment_2025
Revenue (10-year),Conventional,2464.72,usd_b,revenue_conventional
Revenue (10-year),"Add'l 2026-35 Dynamic Revenue Effects ($bn)",-468.78,usd_b,revenue_dynamic
Revenue (10-year),"Conventional, % of GDP",0.6604913993398142,pct,revenue_pct_gdp
