category,value,substitution,basis
1,-0.7458966036623523,presub,% of after-tax income
2,-0.4603601459393323,presub,% of after-tax income
3,-0.4443032415287575,presub,% of after-tax income
4,-0.39452114766570145,presub,% of after-tax income
5,-0.4041950766634203,presub,% of after-tax income
6,-0.3983851121929247,presub,% of after-tax income
7,-0.3796162050892936,presub,% of after-tax income
8,-0.365912276925902,presub,% of after-tax income
9,-0.3356147494633132,presub,% of after-tax income
10,-0.23605398723716667,presub,% of after-tax income
Total,-0.34313855811243077,presub,% of after-tax income
1,-0.6378550509787726,postsub,% of after-tax income
2,-0.39367794800906813,postsub,% of after-tax income
3,-0.3799468523973166,postsub,% of after-tax income
4,-0.3373755900226943,postsub,% of after-tax income
5,-0.345648270771886,postsub,% of after-tax income
6,-0.3406798674230615,postsub,% of after-tax income
7,-0.32462959699868804,postsub,% of after-tax income
8,-0.31291065397850176,postsub,% of after-tax income
9,-0.2870016595826398,postsub,% of after-tax income
10,-0.20186206415690253,postsub,% of after-tax income
Total,-0.2934356603890168,postsub,% of after-tax income
1,-276.4367402833044,presub,2025 dollars
2,-276.3864208175969,presub,2025 dollars
3,-324.6301634229867,presub,2025 dollars
4,-338.7792547120145,presub,2025 dollars
5,-409.8538077367082,presub,2025 dollars
6,-466.218145246014,presub,2025 dollars
7,-521.6116466029439,presub,2025 dollars
8,-602.1159699271103,presub,2025 dollars
9,-698.9042911673712,presub,2025 dollars
10,-1181.9270351762382,presub,2025 dollars
Total,-509.6863475092288,presub,2025 dollars
1,-236.3954604432429,postsub,2025 dollars
2,-236.35242964620423,postsub,2025 dollars
3,-277.6081677040994,postsub,2025 dollars
4,-289.70779290838783,postsub,2025 dollars
5,-350.4873465626924,postsub,2025 dollars
6,-398.68742844918614,postsub,2025 dollars
7,-446.0572977560473,postsub,2025 dollars
8,-514.9007393347042,postsub,2025 dollars
9,-597.6694760144641,postsub,2025 dollars
10,-1010.727392474894,postsub,2025 dollars
Total,-435.8593531293923,postsub,2025 dollars
