category,value,substitution
Leather products,85.87889566400517,presub
Leather products,32.0173545337884,postsub
Wearing apparel,63.96475248839641,presub
Wearing apparel,27.140436410895102,postsub
Electrical equipment,45.782979377865196,presub
Electrical equipment,18.780005343078013,postsub
Textiles,44.33634747840494,presub
Textiles,17.092436849759377,postsub
Mineral products nec,26.639689344073105,presub
Mineral products nec,11.735568054454355,postsub
Metals nec,24.439859680571452,presub
Metals nec,29.462778374177624,postsub
Metal products,22.60259776426346,presub
Metal products,10.527950233547442,postsub
Rubber and plastic products,22.13489447515099,presub
Rubber and plastic products,11.069830024980032,postsub
Manufactures nec,17.799343270590796,presub
Manufactures nec,8.019820913202317,postsub
Machinery and equipment nec,17.796514019946308,presub
Machinery and equipment nec,11.147241423756116,postsub
Crops nec,15.427413661592118,presub
Crops nec,16.751826695144608,postsub
Motor vehicles and parts,12.091798172636882,presub
Motor vehicles and parts,18.68711166454671,postsub
Basic pharmaceutical products,12.009929655367173,presub
Basic pharmaceutical products,8.499771585614038,postsub
"Computer, electronic and optical",11.292742997657529,presub
"Computer, electronic and optical",10.915007227427864,postsub
Ferrous metals,10.793033713099316,presub
Ferrous metals,14.599789809169469,postsub
Wood products,10.57751279361651,presub
Wood products,5.031740920445469,postsub
Transport equipment nec,10.575711190717922,presub
Transport equipment nec,9.52160204945835,postsub
Natural gas,9.307992372409359,presub
Natural gas,5.790372628451094,postsub
"Paper products, publishing",5.537714434937711,presub
"Paper products, publishing",3.9944281768459415,postsub
"Vegetables, fruit, nuts",5.353474853162472,presub
"Vegetables, fruit, nuts",3.8860522185594237,postsub
Chemical products,5.347178138163817,presub
Chemical products,4.304073771950278,postsub
Food products nec,4.287085583522947,presub
Food products nec,3.793158540028123,postsub
Fishing,3.4619217275507097,presub
Fishing,3.2048319093298834,postsub
Oil,3.02903190786602,presub
Oil,1.9198026896468865,postsub
Vegetable oils and fats,2.5780713912282085,presub
Vegetable oils and fats,1.2850292196829967,postsub
Paddy rice,2.3017890912683994,presub
Paddy rice,0.34061015461477023,postsub
Processed rice,1.8574377786297052,presub
Processed rice,15.157151880357274,postsub
Animal products nec,1.7085043854585795,presub
Animal products nec,-0.06192911902086731,postsub
Beverages and tobacco products,1.430196161158466,presub
Beverages and tobacco products,4.071839575622025,postsub
Cereal grains nec,1.0790189573072861,presub
Cereal grains nec,0.5573620711878058,postsub
Bovine meat products,0.8293528196668032,presub
Bovine meat products,0.8515253865369257,postsub
Sugar,0.7403297864006084,presub
Sugar,2.136554606219922,postsub
Minerals nec,0.6760620248248965,presub
Minerals nec,0.34061015461477023,postsub
Forestry,0.599252881448361,presub
Forestry,-0.23223419632825243,postsub
"Petroleum, coal products",0.5614441295579046,presub
"Petroleum, coal products",1.8269090111155857,postsub
Meat products nec,0.4351629462865977,presub
Meat products nec,0.26319875583868607,postsub
Oil seeds,0.2903476152818538,presub
Oil seeds,-4.087321855377242,postsub
Dairy products,0.2725222676505205,presub
Dairy products,1.3779228982142977,postsub
"Wool, silk-worm cocoons",0.1815771749094965,presub
"Wool, silk-worm cocoons",17.789139438744137,postsub
Wheat,0.13970544394477707,presub
Wheat,-0.35609243436998705,postsub
Electricity,0.11136432106199445,presub
Electricity,0.30964559510433654,postsub
"Bovine cattle, sheep and goats",0.09992711626422722,presub
"Bovine cattle, sheep and goats",-0.8824899460473591,postsub
Construction,0.0493765836911108,presub
Construction,1.362440618459081,postsub
Plant-based fibers,0.029593096512158648,presub
Plant-based fibers,-0.5883266306982394,postsub
Raw milk,0.019791734585167232,presub
Raw milk,0.35609243436998705,postsub
Coal,0.01822153617840619,presub
Coal,0.015482279755216828,postsub
"Sugar cane, sugar beet",0.004686906395794479,presub
"Sugar cane, sugar beet",-3.638335742475955,postsub
Water,0.002640781532832905,presub
Water,0.897972225802576,postsub
"Gas manufacture, distribution",0.0003009842943562405,presub
"Gas manufacture, distribution",0.18578735706260194,postsub
Recreational and other services,0,presub
Recreational and other services,0.17030507730738512,postsub
Trade,0,presub
Trade,0.18578735706260194,postsub
Dwellings,0,presub
Dwellings,-0.2941633153491197,postsub
Transport nec,0,presub
Transport nec,0.6967025889847572,postsub
Education,0,presub
Education,-0.07741139877608413,postsub
Communication,0,presub
Communication,0.34061015461477023,postsub
Insurance,0,presub
Insurance,-0.15482279755216827,postsub
Financial services nec,0,presub
Financial services nec,-0.18578735706260194,postsub
Warehousing and support,0,presub
Warehousing and support,0.8205608270264919,postsub
Water transport,0,presub
Water transport,0.7895962675160583,postsub
Human health and social work,0,presub
Human health and social work,0.4335038331460712,postsub
Public Administration,0,presub
Public Administration,0.3251278748595534,postsub
Air transport,0,presub
Air transport,0.34061015461477023,postsub
Accommodation & food services,0,presub
Accommodation & food services,0.24771647608346925,postsub
Business services nec,0,presub
Business services nec,0.17030507730738512,postsub
Real estate activities,0,presub
Real estate activities,-0.046446839265650484,postsub
