time,series,variant,value
2022-11-02,<5 Weeks,observed,6.4346
2022-11-02,15-26 Weeks,observed,7.7674
2022-11-02,27+ Weeks,observed,5.7421
2022-11-02,5-14 Weeks,observed,6.6303
2022-12-02,<5 Weeks,observed,5.8788
2022-12-02,15-26 Weeks,observed,7.1858
2022-12-02,27+ Weeks,observed,4.9962
2022-12-02,5-14 Weeks,observed,5.7249
2023-01-02,<5 Weeks,observed,6.447
2023-01-02,15-26 Weeks,observed,6.6978
2023-01-02,27+ Weeks,observed,4.2914
2023-01-02,5-14 Weeks,observed,4.9122
2023-02-02,<5 Weeks,observed,6.284
2023-02-02,15-26 Weeks,observed,7.5113
2023-02-02,27+ Weeks,observed,3.8703
2023-02-02,5-14 Weeks,observed,5.0357
2023-03-02,<5 Weeks,observed,6.588
2023-03-02,15-26 Weeks,observed,7.7312
2023-03-02,27+ Weeks,observed,4.4938
2023-03-02,5-14 Weeks,observed,6.3615
2023-04-02,<5 Weeks,observed,6.4226
2023-04-02,15-26 Weeks,observed,7.9101
2023-04-02,27+ Weeks,observed,4.3214
2023-04-02,5-14 Weeks,observed,6.1761
2023-05-02,<5 Weeks,observed,6.7007
2023-05-02,15-26 Weeks,observed,6.6975
2023-05-02,27+ Weeks,observed,5.1433
2023-05-02,5-14 Weeks,observed,6.1467
2023-06-02,<5 Weeks,observed,9.5219
2023-06-02,15-26 Weeks,observed,6.5172
2023-06-02,27+ Weeks,observed,4.3876
2023-06-02,5-14 Weeks,observed,6.0316
2023-07-02,<5 Weeks,observed,12.4942
2023-07-02,15-26 Weeks,observed,6.8983
2023-07-02,27+ Weeks,observed,4.3763
2023-07-02,5-14 Weeks,observed,10.1423
2023-08-02,<5 Weeks,observed,12.3304
2023-08-02,15-26 Weeks,observed,6.9698
2023-08-02,27+ Weeks,observed,4.2582
2023-08-02,5-14 Weeks,observed,14.0725
2023-09-02,<5 Weeks,observed,9.8413
2023-09-02,15-26 Weeks,observed,6.4792
2023-09-02,27+ Weeks,observed,4.5059
2023-09-02,5-14 Weeks,observed,13.9401
2023-10-02,<5 Weeks,observed,6.5849
2023-10-02,15-26 Weeks,observed,7.0096
2023-10-02,27+ Weeks,observed,5.1918
2023-10-02,5-14 Weeks,observed,10.4258
2023-11-02,<5 Weeks,observed,6.4565
2023-11-02,15-26 Weeks,observed,8.1064
2023-11-02,27+ Weeks,observed,5.3425
2023-11-02,5-14 Weeks,observed,6.8234
2023-12-02,<5 Weeks,observed,5.6626
2023-12-02,15-26 Weeks,observed,8.7626
2023-12-02,27+ Weeks,observed,5.6359
2023-12-02,5-14 Weeks,observed,6.0023
2024-01-02,<5 Weeks,observed,6.2806
2024-01-02,15-26 Weeks,observed,7.6707
2024-01-02,27+ Weeks,observed,5.6258
2024-01-02,5-14 Weeks,observed,4.9327
2024-02-02,<5 Weeks,observed,5.6029
2024-02-02,15-26 Weeks,observed,6.919
2024-02-02,27+ Weeks,observed,5.0832
2024-02-02,5-14 Weeks,observed,4.5915
2024-03-02,<5 Weeks,observed,5.4683
2024-03-02,15-26 Weeks,observed,5.9278
2024-03-02,27+ Weeks,observed,5.0746
2024-03-02,5-14 Weeks,observed,4.5096
2024-04-02,<5 Weeks,observed,5.2234
2024-04-02,15-26 Weeks,observed,5.3373
2024-04-02,27+ Weeks,observed,5.001
2024-04-02,5-14 Weeks,observed,4.0925
2024-05-02,<5 Weeks,observed,6.2829
2024-05-02,15-26 Weeks,observed,5.5621
2024-05-02,27+ Weeks,observed,4.9379
2024-05-02,5-14 Weeks,observed,3.9905
2024-06-02,<5 Weeks,observed,9.6778
2024-06-02,15-26 Weeks,observed,6.6044
2024-06-02,27+ Weeks,observed,5.8722
2024-06-02,5-14 Weeks,observed,4.6572
2024-07-02,<5 Weeks,observed,11.3152
2024-07-02,15-26 Weeks,observed,7.01
2024-07-02,27+ Weeks,observed,5.7772
2024-07-02,5-14 Weeks,observed,8.709
2024-08-02,<5 Weeks,observed,11.7656
2024-08-02,15-26 Weeks,observed,7.3105
2024-08-02,27+ Weeks,observed,6.6643
2024-08-02,5-14 Weeks,observed,12.0004
2024-09-02,<5 Weeks,observed,8.9361
2024-09-02,15-26 Weeks,observed,6.8191
2024-09-02,27+ Weeks,observed,6.0675
2024-09-02,5-14 Weeks,observed,12.6329
2024-10-02,<5 Weeks,observed,7.5188
2024-10-02,15-26 Weeks,observed,7.5376
2024-10-02,27+ Weeks,observed,6.9892
2024-10-02,5-14 Weeks,observed,9.8728
2024-11-02,<5 Weeks,observed,6.8428
2024-11-02,15-26 Weeks,observed,6.8083
2024-11-02,27+ Weeks,observed,6.9378
2024-11-02,5-14 Weeks,observed,6.522
2024-12-02,<5 Weeks,observed,6.5507
2024-12-02,15-26 Weeks,observed,7.05
2024-12-02,27+ Weeks,observed,6.4358
2024-12-02,5-14 Weeks,observed,5.5413
2025-01-02,<5 Weeks,observed,6.1152
2025-01-02,15-26 Weeks,observed,5.8164
2025-01-02,27+ Weeks,observed,5.1516
2025-01-02,5-14 Weeks,observed,4.6899
2025-02-02,<5 Weeks,observed,5.6964
2025-02-02,15-26 Weeks,observed,5.0667
2025-02-02,27+ Weeks,observed,4.7068
2025-02-02,5-14 Weeks,observed,5.1938
2025-03-02,<5 Weeks,observed,5.4447
2025-03-02,15-26 Weeks,observed,3.9211
2025-03-02,27+ Weeks,observed,5.0628
2025-03-02,5-14 Weeks,observed,5.1877
2025-04-02,<5 Weeks,observed,6.3287
2025-04-02,15-26 Weeks,observed,3.8982
2025-04-02,27+ Weeks,observed,5.0143
2025-04-02,5-14 Weeks,observed,5.7248
2025-05-02,<5 Weeks,observed,6.4546
2025-05-02,15-26 Weeks,observed,4.8067
2025-05-02,27+ Weeks,observed,4.9613
2025-05-02,5-14 Weeks,observed,6.0217
2025-06-02,<5 Weeks,observed,10.0304
