category,series,value
2025,conventional,111
2026,conventional,222.39420834800487
2027,conventional,214.65622543642732
2028,conventional,222.76165533312536
2029,conventional,230.16566145540307
2030,conventional,238.02610546489103
2031,conventional,247.32845351408395
2032,conventional,257.1874428468329
2033,conventional,267.1912146704461
2034,conventional,277.45101758857794
2035,conventional,287.554992808537
2026-35,conventional,2464.7169774663294
2025-34,conventional,2288.161984657793
2025,dynamic,102.699
2026,dynamic,178.59820834800487
2027,dynamic,157.91822543642732
2028,dynamic,173.17665533312535
2029,dynamic,189.26466145540306
2030,dynamic,198.30710546489104
2031,dynamic,205.37245351408393
2032,dynamic,212.48844284683287
2033,dynamic,219.67521467044608
2034,dynamic,227.06301758857794
2035,dynamic,234.069992808537
2026-35,dynamic,1995.9339774663295
2025-34,dynamic,1864.5629846577924
2025,difference,-8.301
2026,difference,-43.796
2027,difference,-56.738
2028,difference,-49.585
2029,difference,-40.901
2030,difference,-39.719
2031,difference,-41.956
2032,difference,-44.699
2033,difference,-47.516
2034,difference,-50.388
2035,difference,-53.485
2026-35,difference,-468.783
2025-34,difference,-423.59900000000005
