category,series,value,unit,metric,scenario,measure
Tariff rate,Average statutory rate,12.5049269371539,pct,etr_statutory_level,tracker_actual_2026-07-23,level
Tariff rate,"Effective rate, pre-substitution",10.774551780224185,pct,etr_presub_level,tracker_actual_2026-07-23,level
Tariff rate,"Effective rate, post-substitution",8.974112123065307,pct,etr_postsub_level,tracker_actual_2026-07-23,level
Consumer price increase,Pre-substitution,0.778056287368543,pct,price_presub,tracker_actual_2026-07-23,level
Consumer price increase,Post-substitution,0.6631199703802942,pct,price_postsub,tracker_actual_2026-07-23,level
Household cost,Pre-substitution,1053.776685096503,usd,hh_cost_presub,tracker_actual_2026-07-23,level
Household cost,Post-substitution,898.110298127628,usd,hh_cost_postsub,tracker_actual_2026-07-23,level
Real GDP,2025 Q4/Q4,-0.2964486812438216,pp,gdp_2025_q4q4,tracker_actual_2026-07-23,level
Real GDP,2026 Q4/Q4,0.21929022711140167,pp,gdp_2026_q4q4,tracker_actual_2026-07-23,level
Real GDP,Long-run,-0.1420358568429947,pct,gdp_long_run,tracker_actual_2026-07-23,level
Tariff rate,Average statutory rate,9.76945647906406,pct,etr_statutory_level,tracker_no_fl_301_2026-07-23,level
Tariff rate,"Effective rate, pre-substitution",8.213476401334235,pct,etr_presub_level,tracker_no_fl_301_2026-07-23,level
Tariff rate,"Effective rate, post-substitution",6.838908559866538,pct,etr_postsub_level,tracker_no_fl_301_2026-07-23,level
Consumer price increase,Pre-substitution,0.4053566079682058,pct,price_presub,tracker_no_fl_301_2026-07-23,level
Consumer price increase,Post-substitution,0.34636935710901967,pct,price_postsub,tracker_no_fl_301_2026-07-23,level
Household cost,Pre-substitution,549.0031371269765,usd,hh_cost_presub,tracker_no_fl_301_2026-07-23,level
Household cost,Post-substitution,469.1125293618524,usd,hh_cost_postsub,tracker_no_fl_301_2026-07-23,level
Real GDP,2025 Q4/Q4,-0.28252887718158703,pp,gdp_2025_q4q4,tracker_no_fl_301_2026-07-23,level
Real GDP,2026 Q4/Q4,0.27801183501614535,pp,gdp_2026_q4q4,tracker_no_fl_301_2026-07-23,level
Real GDP,Long-run,-0.07359795272350311,pct,gdp_long_run,tracker_no_fl_301_2026-07-23,level
Tariff rate,Average statutory rate,12.796246670671875,pct,etr_statutory_level,tracker_no_fl_301_keep_s122_2026-07-23,level
Tariff rate,"Effective rate, pre-substitution",11.042982607235905,pct,etr_presub_level,tracker_no_fl_301_keep_s122_2026-07-23,level
Tariff rate,"Effective rate, post-substitution",9.34181945803419,pct,etr_postsub_level,tracker_no_fl_301_keep_s122_2026-07-23,level
Consumer price increase,Pre-substitution,0.7965422845143846,pct,price_presub,tracker_no_fl_301_keep_s122_2026-07-23,level
Consumer price increase,Post-substitution,0.6992233165849514,pct,price_postsub,tracker_no_fl_301_keep_s122_2026-07-23,level
Household cost,Pre-substitution,1078.8135790967194,usd,hh_cost_presub,tracker_no_fl_301_keep_s122_2026-07-23,level
Household cost,Post-substitution,947.0076145584304,usd,hh_cost_postsub,tracker_no_fl_301_keep_s122_2026-07-23,level
Real GDP,2025 Q4/Q4,-0.2953623435316244,pp,gdp_2025_q4q4,tracker_no_fl_301_keep_s122_2026-07-23,level
Real GDP,2026 Q4/Q4,0.21673433357882743,pp,gdp_2026_q4q4,tracker_no_fl_301_keep_s122_2026-07-23,level
Real GDP,Long-run,-0.13526566326618197,pct,gdp_long_run,tracker_no_fl_301_keep_s122_2026-07-23,level
Tariff rate,Average statutory rate,-2.735470458089841,pct,etr_statutory_level,tracker_no_fl_301_2026-07-23,delta_vs_default
Tariff rate,"Effective rate, pre-substitution",-2.5610753788899494,pct,etr_presub_level,tracker_no_fl_301_2026-07-23,delta_vs_default
Tariff rate,"Effective rate, post-substitution",-2.135203563198769,pct,etr_postsub_level,tracker_no_fl_301_2026-07-23,delta_vs_default
