category,value,substitution,basis
1,,presub,% of after-tax income
2,-4.221632938023478,presub,% of after-tax income
3,-3.5025540182602026,presub,% of after-tax income
4,-2.936989987108747,presub,% of after-tax income
5,-2.6987265864713623,presub,% of after-tax income
6,-2.4244169418209074,presub,% of after-tax income
7,-2.218205628801076,presub,% of after-tax income
8,-2.056425282817329,presub,% of after-tax income
9,-1.89155965678445,presub,% of after-tax income
10,-1.4479370143013086,presub,% of after-tax income
1,,presub,2024 dollars
2,-1814.5373613840884,presub,2024 dollars
3,-2269.0924443980657,presub,2024 dollars
4,-2533.693670767401,presub,2024 dollars
5,-2941.037113199305,presub,2024 dollars
6,-3357.1887341742295,presub,2024 dollars
7,-3852.0229558633914,presub,2024 dollars
8,-4414.829922700022,presub,2024 dollars
9,-5277.180785767418,presub,2024 dollars
10,-7304.827105186388,presub,2024 dollars
