category,series,value,unit,metric
Tariff rate,"Additional effective rate, pre-substitution (p.p.)",15.551984068676198,pp,etr_addl_presub
Tariff rate,"Additional effective rate, post-substitution (p.p.)",14.510688498409529,pp,etr_addl_postsub
Consumer price increase,Pre-substitution,1.7825819794381648,pct,price_presub
Household cost,Pre-substitution,-2367.035355377679,usd,hh_cost_presub
Real GDP,"Q4-Q4 growth (p.p.), 2025",-0.7463971061258734,pp,gdp_growth_2025
Real GDP,Long-run,-0.39,pct,gdp_longrun
Labor market,"Unemployment rate (p.p.), end of 2025",0.39848995208740234,pp,unemployment_2025
Labor market,"Change in payroll employment, 2025 Q4 (thousands)",-552.825927734375,thousands,payroll_employment_2025
Revenue (10-year),Conventional,2616.126704605547,usd_bn,revenue_conventional
Revenue (10-year),Add'l 2026-35 Dynamic Revenue Effects ($bn),-418.334,usd_bn,revenue_dynamic
